region,window,option_type,index_type,strike_S,z_star,premium_per_ha_EUR,n_hist,spearman_rho,p_value_rho,SD_unhedged_per_ha,SD_hedged_per_ha,HE_pct,RMSL_pct_reduction,mean_rev_u_per_ha,mean_rev_h_per_ha,idx_mean_calib,idx_std_calib,n_days_avg
11,AprMayJunJul,put,hdd,373.74556,0.05484,26.45399,25,0.19077,0.36101,139.25956,138.97068,0.20744,0.0155,1273.48302,1273.55556,373.74556,71.09527,122.0
24,AprMayJunJul,put,hdd,386.30005,0.12958,27.44325,25,0.29923,0.1462,135.20039,134.58956,0.45179,0.05493,1074.15156,1074.32936,386.30005,71.20273,122.0
27,AprMayJunJul,put,cdd,157.13987,3.34287,21.31803,12,0.55245,0.06251,166.65558,152.80159,8.31295,22.24953,1065.73088,1069.29405,157.13987,50.60059,122.0
28,AprMayJunJul,put,cdd,40.33428,3.91354,9.37855,25,0.16,0.44488,134.37856,131.46771,2.16616,3.75234,1429.26098,1431.09615,40.33428,24.36316,122.0
32,AprMayJunJul,put,cdd,67.18618,9.99999,10.31328,12,0.30769,0.33059,170.27321,150.12413,11.83338,35.15536,1388.25687,1393.41351,67.18618,27.25141,122.0
44,AprMayJunJul,put,cat,1912.4204,1.71298,34.75518,25,0.19077,0.36101,126.87916,132.19048,-4.18612,16.12791,918.24457,921.22132,1912.4204,95.5939,122.0
52,AprMayJunJul,put,hdd,363.17607,1.11148,24.57074,25,0.34462,0.09161,117.34432,110.35274,5.95818,6.71228,1010.59413,1011.95962,363.17607,64.01327,122.0
53,AprMayJunJul,put,cdd,34.14051,5.87682,9.22907,25,0.23,0.26871,78.98771,75.79434,4.04287,24.57029,1170.29998,1173.01186,34.14051,23.27109,122.0
