region,eval_year,n_calib,window,option_type,index_type,spearman_rho,S,z_star,premium_EUR_ha,idx_mean_calib,idx_std_calib,actual_index,index_vs_S,payoff_EUR_ha,in_money,rev_unhedged,rev_hedged,net_benefit,better_off,perfect_hedge,rev_hedged_perfect,net_benefit_perfect,xgb_hedge_t0.0,rev_hedged_t0.0,net_benefit_t0.0,xgb_hedge_t0.5,rev_hedged_t0.5,net_benefit_t0.5,xgb_hedge_t1.0,rev_hedged_t1.0,net_benefit_t1.0,xgb_z_cont,rev_hedged_cont,net_benefit_cont,xgb_forecast,xgb_anomaly_z
32,2017,17,MayJun,call,cat,-0.5714,874.7,0.0,18.73,874.7,51.59,1008.2,133.51,133.51,True,1407.31,1407.32,0.0,True,True,1407.32,0.0,True,1407.32,0.0,True,1407.32,0.0,False,1407.31,0.0,0.0,1407.32,0.01,901.98,0.529
44,2017,17,Mar,call,cat,-0.4853,207.75,2.6802,16.59,207.75,42.87,282.4,74.65,74.65,True,1014.42,1170.02,155.6,True,True,1170.02,155.6,True,1170.02,155.6,False,1014.42,0.0,False,1014.42,0.0,0.8974,1066.52,52.1,222.1,0.335
52,2017,17,FebMarAprMayJunJul,call,cat,-0.3897,2353.88,0.7144,35.27,2353.88,98.99,2557.72,203.84,203.84,True,1132.63,1253.06,120.42,True,True,1253.06,120.42,True,1253.06,120.42,False,1132.63,0.0,False,1132.63,0.0,0.2486,1174.54,41.91,2388.33,0.348
53,2017,17,May,call,cat,-0.3946,406.89,1.2838,6.77,406.89,22.21,446.85,39.96,39.96,True,1228.3,1270.92,42.62,True,True,1270.92,42.62,True,1270.92,42.62,False,1228.3,0.0,False,1228.3,0.0,0.5709,1247.25,18.95,416.77,0.445
11,2018,18,May,put,hdd,0.4551,117.21,0.0,12.56,117.21,33.58,80.95,-36.27,36.27,True,1232.67,1232.67,0.0,True,True,1232.67,0.0,True,1232.67,0.0,True,1232.67,0.0,False,1232.67,0.0,0.0,1232.67,-0.0,98.21,-0.566
24,2018,18,MayJun,put,hdd,0.3189,163.65,0.399,14.38,163.65,38.77,104.06,-59.59,59.59,True,1108.98,1127.02,18.04,True,True,1127.02,18.04,True,1127.02,18.04,True,1127.02,18.04,False,1108.98,0.0,0.3785,1126.09,17.11,126.87,-0.949
27,2018,18,MarAprMay,call,hdd,-0.9429,686.79,2.8641,19.47,686.79,58.27,581.47,-105.31,0.0,False,1038.54,982.78,-55.77,False,False,1038.54,0.0,False,1038.54,0.0,False,1038.54,0.0,False,1038.54,0.0,0.0,1038.54,-0.0,667.93,-0.324
28,2018,18,Jan,call,cat,-0.3416,164.2,2.1498,18.39,164.2,49.71,226.09,61.89,61.89,True,1363.75,1457.26,93.51,True,True,1457.26,93.51,True,1457.26,93.51,True,1457.26,93.51,False,1363.75,0.0,1.2089,1416.33,52.58,192.15,0.562
32,2018,18,FebMarAprMay,call,cat,-0.6,1024.01,0.0,52.19,1024.01,159.51,1063.03,39.02,39.02,True,1342.53,1342.53,-0.0,False,False,1342.53,0.0,True,1342.53,-0.0,False,1342.53,0.0,False,1342.53,0.0,0.0,1342.53,0.0,1092.9,0.432
44,2018,18,Mar,call,cat,-0.3086,211.89,2.4746,17.5,211.89,45.16,170.54,-41.35,0.0,False,1020.57,977.26,-43.31,False,False,1020.57,0.0,True,977.26,-43.31,False,1020.57,0.0,False,1020.57,0.0,0.5848,1010.34,-10.23,222.57,0.236
52,2018,18,FebMarAprMayJunJul,call,cat,-0.3333,2365.2,0.4938,38.76,2365.2,107.38,2479.21,114.0,114.0,True,908.06,945.22,37.15,True,True,945.22,37.15,True,945.22,37.15,True,945.22,37.15,False,908.06,0.0,0.3201,932.15,24.09,2434.81,0.648
53,2018,18,May,call,cat,-0.3106,409.11,0.0,7.51,409.11,23.52,428.65,19.54,19.54,True,1097.64,1097.64,0.0,True,True,1097.64,0.0,True,1097.64,0.0,True,1097.64,0.0,False,1097.64,0.0,0.0,1097.64,0.0,423.25,0.601
11,2019,19,May,put,hdd,0.4772,115.3,0.0,12.76,115.3,33.68,154.65,39.35,0.0,False,1409.1,1409.1,-0.0,False,False,1409.1,0.0,True,1409.1,-0.0,True,1409.1,-0.0,False,1409.1,0.0,0.0,1409.1,-0.0,94.86,-0.607
24,2019,19,MayJun,call,cat,-0.3,984.82,0.6896,20.39,984.82,57.25,973.31,-11.51,0.0,False,1227.98,1213.92,-14.06,False,False,1227.98,0.0,True,1213.92,-14.06,False,1227.98,0.0,False,1227.98,0.0,0.3318,1221.22,-6.76,1012.36,0.481
27,2019,19,JanFebMarAprMay,put,cdd,1.0,11.73,10.0,3.46,11.73,8.75,0.0,-11.73,11.73,True,1263.15,1345.91,82.77,True,True,1345.91,82.77,True,1345.91,82.77,True,1345.91,82.77,True,1345.91,82.77,10.0,1345.91,82.76,0.0,-1.34
28,2019,19,Jan,call,cat,-0.4053,167.46,1.6637,18.75,167.46,50.35,152.56,-14.89,0.0,False,1556.69,1525.5,-31.19,False,False,1556.69,0.0,True,1525.5,-31.19,False,1556.69,0.0,False,1556.69,0.0,0.7738,1542.18,-14.51,190.88,0.465
32,2019,19,JanFebMarAprMayJunJul,call,cat,-0.6,2227.99,0.0,69.12,2227.99,202.93,2383.57,155.58,155.58,True,1519.0,1519.0,0.0,True,True,1519.0,0.0,True,1519.0,0.0,False,1519.0,0.0,False,1519.0,0.0,0.0,1519.0,0.0,2304.6,0.378
44,2019,19,AprMayJunJul,put,cat,0.3842,1910.7,1.7577,36.04,1910.7,96.5,1925.11,14.41,0.0,False,1106.8,1043.45,-63.35,False,False,1106.8,0.0,False,1106.8,0.0,False,1106.8,0.0,False,1106.8,0.0,0.0,1106.8,-0.0,1966.83,0.582
52,2019,19,FebMarAprMayJunJul,call,cat,-0.4298,2371.2,0.8073,39.73,2371.2,107.58,2487.01,115.8,115.8,True,1189.65,1251.07,61.41,True,True,1251.07,61.41,True,1251.07,61.41,True,1251.07,61.41,False,1189.65,0.0,0.5357,1230.41,40.76,2442.59,0.664
53,2019,19,May,call,cat,-0.3404,410.14,0.0,7.63,410.14,23.29,389.93,-20.21,0.0,False,1255.97,1255.97,-0.0,False,False,1255.97,0.0,True,1255.97,-0.0,True,1255.97,-0.0,False,1255.97,0.0,0.0,1255.97,-0.0,424.92,0.635
11,2020,20,May,put,hdd,0.5038,117.27,0.0,13.06,117.27,33.94,114.82,-2.45,2.45,True,1246.88,1246.88,-0.0,False,False,1246.88,0.0,True,1246.88,-0.0,True,1246.88,-0.0,False,1246.88,0.0,0.0,1246.88,-0.0,98.48,-0.554
24,2020,20,MayJun,put,hdd,0.3323,162.85,0.0,15.33,162.85,40.39,169.44,6.58,0.0,False,977.49,977.49,-0.0,False,False,977.49,0.0,True,977.49,-0.0,True,977.49,-0.0,True,977.49,-0.0,0.0,977.49,-0.0,106.59,-1.393
