region,calibration_year,calibration_end,prediction_year,train_start,train_end,prediction_start,prediction_end,n_calibration_rows,n_prediction_rows,fit_MAE,fit_MAPE,fit_Bias,fit_RMSE,pred_year_MAE,pred_year_MAPE,pred_year_Bias,pred_year_RMSE,export_path
11,2010,2010-12-31,2011,1975-01-01,2010-12-31,2011-01-01,2011-12-31,13149,365,,,,,2.314265012741089,24.304492950439453,0.4045521914958954,2.9388628005981445,../Outputs/lstm_rolling_exports/lstm_region_11_calib_2010_predict_2011.pkl
11,2011,2011-12-31,2012,1975-01-01,2011-12-31,2012-01-01,2012-12-31,13514,366,,,,,2.8767189979553223,26.122699737548828,1.0357377529144287,3.622608184814453,../Outputs/lstm_rolling_exports/lstm_region_11_calib_2011_predict_2012.pkl
11,2012,2012-12-31,2013,1975-01-01,2012-12-31,2013-01-01,2013-12-31,13880,365,,,,,2.837752103805542,27.525455474853516,1.0737072229385376,3.4360318183898926,../Outputs/lstm_rolling_exports/lstm_region_11_calib_2012_predict_2013.pkl
11,2013,2013-12-31,2014,1975-01-01,2013-12-31,2014-01-01,2014-12-31,14245,365,,,,,2.182919979095459,18.580181121826172,0.984333336353302,2.6784849166870117,../Outputs/lstm_rolling_exports/lstm_region_11_calib_2013_predict_2014.pkl
11,2014,2014-12-31,2015,1975-01-01,2014-12-31,2015-01-01,2015-12-31,14610,365,,,,,2.5995912551879883,22.736223220825195,1.1762988567352295,3.1901113986968994,../Outputs/lstm_rolling_exports/lstm_region_11_calib_2014_predict_2015.pkl
11,2015,2015-12-31,2016,1975-01-01,2015-12-31,2016-01-01,2016-12-31,14975,366,,,,,2.432800531387329,21.783447265625,0.7101408839225769,3.093069076538086,../Outputs/lstm_rolling_exports/lstm_region_11_calib_2015_predict_2016.pkl
11,2016,2016-12-31,2017,1975-01-01,2016-12-31,2017-01-01,2017-12-31,15341,365,,,,,2.7914090156555176,23.722496032714844,1.1921466588974,3.400062084197998,../Outputs/lstm_rolling_exports/lstm_region_11_calib_2016_predict_2017.pkl
11,2017,2017-12-31,2018,1975-01-01,2017-12-31,2018-01-01,2018-12-31,15706,365,,,,,2.788403034210205,24.81768798828125,1.0484421253204346,3.5330145359039307,../Outputs/lstm_rolling_exports/lstm_region_11_calib_2017_predict_2018.pkl
11,2018,2018-12-31,2019,1975-01-01,2018-12-31,2019-01-01,2019-12-31,16071,365,,,,,2.566136360168457,22.668926239013672,1.214331030845642,3.188636541366577,../Outputs/lstm_rolling_exports/lstm_region_11_calib_2018_predict_2019.pkl
11,2019,2019-12-31,2020,1975-01-01,2019-12-31,2020-01-01,2020-12-31,16436,366,,,,,2.657304048538208,23.005603790283203,0.8085489869117737,3.161491870880127,../Outputs/lstm_rolling_exports/lstm_region_11_calib_2019_predict_2020.pkl
