region,pos,label,metric,mean_idx,std_idx,cv,spearman,pearson,p_value,sig,in_crit
53,6,Apr (T),MeanT,10.66,1.14,0.107,-0.124,-0.293,0.5553,,True
53,6,Apr (T),HDD,220.1,34.32,0.156,0.124,0.292,0.5553,,True
53,6,Apr (T),CDD,0.02,0.09,,-0.17,-0.133,0.417,,True
53,7,May (T),MeanT,13.32,0.87,0.065,-0.398,-0.289,0.049,*,True
53,7,May (T),HDD,146.05,26.41,0.181,0.391,0.296,0.0534,.,True
53,7,May (T),CDD,1.1,2.03,1.852,-0.156,-0.002,0.4558,,True
53,8,Jun (T),MeanT,16.21,0.94,0.058,0.112,0.097,0.593,,True
53,8,Jun (T),HDD,64.16,22.37,0.349,-0.073,-0.051,0.7285,,True
53,8,Jun (T),CDD,10.59,8.52,0.805,0.127,0.188,0.5455,,True
53,9,Jul (T),MeanT,17.79,1.08,0.061,0.257,0.303,0.2151,,False
53,9,Jul (T),HDD,29.39,16.51,0.562,-0.234,-0.28,0.2606,,False
53,9,Jul (T),CDD,22.92,18.97,0.827,0.3,0.292,0.1451,,False
