region,status,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,mae,rmse,r2,corr,z_mean,z_std,z_skew,z_kurtosis
11,ok,50,5,0.05,1.0,1.0,3,0.1,2.0,2.179657459259033,2.7119464151158064,0.2901817560195923,0.539019670773418,0.02900998480618,2.7117910385131836,0.16837872564792633,2.946906089782715
24,ok,562,4,0.01,1.0,1.0,3,0.01,1.0,2.213162660598755,2.7273761223931854,0.2924930453300476,0.5409817131254208,0.04009047523140907,2.727081537246704,0.10262611508369446,2.7766971588134766
27,ok,50,3,0.08,1.0,1.0,1,0.0,1.0,2.206195116043091,2.720227070474339,0.31615495681762695,0.5678557890553632,0.06820188462734222,2.719372034072876,0.05005628988146782,2.770402431488037
28,ok,58,2,0.03,0.9,1.0,1,0.0,2.0,1.7839243412017822,2.2665915696475647,0.28101611137390137,0.5420032225178828,0.1060279905796051,2.2641103267669678,0.250078409910202,3.2617573738098145
32,ok,119,4,0.03,1.0,1.0,5,0.01,1.0,1.9513155221939087,2.460914054637822,0.3014565706253052,0.5495195060917533,0.012373602017760277,2.4608829021453857,0.2741403579711914,3.188687801361084
44,ok,89,6,0.05,1.0,1.0,1,0.01,1.0,2.1007649898529053,2.6305643778618,0.34333956241607666,0.5865042073946645,0.06401103734970093,2.6297855377197266,0.08537605404853821,3.070869207382202
52,ok,129,4,0.08,1.0,0.8,1,0.0,1.0,1.9965236186981201,2.4836508217272324,0.29346340894699097,0.5424213511824603,0.06065881997346878,2.482909917831421,0.1615263819694519,2.976450204849243
53,ok,50,4,0.08,1.0,1.0,5,0.0,1.0,1.6182785034179688,2.038713096410954,0.283582866191864,0.5334761615876282,-0.0058382474817335606,2.0387048721313477,0.214558407664299,3.3281407356262207
