region,calib_year,a0,a1,t0,slope,intercept,alpha_alias,gh_p,gh_a,gh_b,gh_loc,gh_scale,vol_min,vol_max,ks_p,pkl_path
11,2010,11.369089601123202,7.934073637075682,-162.25437671631892,0.7972888780365522,0.00023464542286191385,0.22653820910496986,228.4955251440702,1247.9441292883162,-208.74922626534692,6.467242661716725,31.69052911392133,2.421026181171973,7.3341517979999375,0.11459156904961731,Outputs/benth_models/ou_levy_model_11_calib_2010.pkl
11,2011,11.398122638410234,7.909906475721393,-162.29969543531584,0.7967093885304185,0.0006947053353806404,0.22726529839210083,-1002.4758076775015,630.9205503271089,105.54032444167376,-2.2736440150985677,46.93144832831089,2.4725814711810874,7.584473918168811,0.08767459396626298,Outputs/benth_models/ou_levy_model_11_calib_2011.pkl
11,2012,11.40324511026414,7.90125760967364,-162.27208874524712,0.7969575510375483,0.0006582708042869078,0.22695386254189379,450.18959615661333,1363.608338466604,-326.2690793693322,10.269428850942404,29.844641346873452,2.4787665387540723,7.561580541819664,0.05316834597600428,Outputs/benth_models/ou_levy_model_11_calib_2012.pkl
11,2013,11.396762237710275,7.916313174853065,-162.04567595150093,0.797114876939131,0.0005528410075617932,0.2267564738921281,-1046.975186771997,853.935383473608,120.3633938949389,-2.4760462657437365,49.16114924647502,2.443040982196142,7.408984686247709,0.05660575926261813,Outputs/benth_models/ou_levy_model_11_calib_2013.pkl
11,2014,11.423750327819391,7.886515118381506,-162.01817461241302,0.7970800959719733,0.000355010404633076,0.22680010841331807,235.74781376045303,630.230273170499,-21.027423522141355,1.0113531694430486,21.0319372549217,2.405002483353951,7.449362826437991,0.06097036391515742,Outputs/benth_models/ou_levy_model_11_calib_2014.pkl
11,2015,11.442579221204264,7.875426636129494,-161.98858578920624,0.7963901452767512,0.0006207409452467139,0.22766608095611,-187.06140686858248,316.83440571602046,-71.04446269620101,3.0196209486765495,23.25971015329042,2.642070629173972,7.4673185134181095,0.03558411452409527,Outputs/benth_models/ou_levy_model_11_calib_2015.pkl
11,2016,11.448256581239214,7.876993505806964,-161.8749853907604,0.7962257166733945,3.299708871134984e-05,0.22787256967428668,-283.9898535743107,687.1523871500153,256.90607296623807,-7.883296568489424,30.080616313524303,2.61079870731941,7.341699882782444,0.026322138622403957,Outputs/benth_models/ou_levy_model_11_calib_2016.pkl
11,2017,11.4636018843656,7.879334849478389,-162.0102219466664,0.7960976115301888,0.0007302942565879783,0.22803347310540908,-875.1874434234751,618.5470649209458,170.92531747883277,-3.8920475204596707,43.957436026124824,2.590768417116863,7.344109270187984,0.02455953212481965,Outputs/benth_models/ou_levy_model_11_calib_2017.pkl
11,2018,11.491984261580452,7.898550233859497,-162.0155879400672,0.7973478471640353,0.0005526478733107941,0.22646424978046914,230.12861387628163,1604.3212419211486,288.1859286624657,-7.71724845853058,36.52429489916422,2.600231974016257,7.234430387268012,0.022902730740171708,Outputs/benth_models/ou_levy_model_11_calib_2018.pkl
11,2019,11.51336374580318,7.897607747319099,-162.00141824550568,0.7974296895965639,0.00024336041737855492,0.22636161172504893,-41.70193879456004,420.00684472213806,-53.497481191382306,2.4903842623309655,21.41752008140936,2.621097715190045,7.096603157501854,0.021363292293907505,Outputs/benth_models/ou_levy_model_11_calib_2019.pkl
11,2020,11.541805364068905,7.88438992663205,-162.00086928468966,0.7972961177065504,0.00029857480832073697,0.22652912878624423,-306.2330109008866,412.43828865955936,-33.0409993276337,1.1596835831112853,28.735872005045614,2.634389203026813,7.079654867665356,0.02183653015746148,Outputs/benth_models/ou_levy_model_11_calib_2020.pkl
11,2021,11.541091981719257,7.874782113114037,-161.96150277050927,0.7974901083109581,0.0006497157533309207,0.22628584777189922,-35.23521636640727,471.1911117905124,-22.34217225212341,0.9962730955373615,22.624488213611315,2.6004527230952283,6.945077005732446,0.025911782647163983,Outputs/benth_models/ou_levy_model_11_calib_2021.pkl
11,2022,11.570156905212906,7.883250114464667,-161.95920032013535,0.7984115038084519,0.000779731228125939,0.22513114551096503,202.35207234311554,245.43653955494892,-11.364042158992223,1.0607377226611363,10.79305546273618,2.562324553649403,6.8918689459572455,0.034777787241637714,Outputs/benth_models/ou_levy_model_11_calib_2022.pkl
11,2023,11.599339140316385,7.883860935653416,-161.8468592702867,0.7984872876025252,0.0005291103844193549,0.22503623180129506,-585.5031574401646,299.5927712262246,246.3479495283559,-6.895527751441751,33.39838610978869,2.6021102541370764,6.942426387598669,0.028695290165993592,Outputs/benth_models/ou_levy_model_11_calib_2023.pkl
24,2010,11.401603272217706,7.965335967757853,-161.77136849344512,0.7981012892086097,0.000340039946970041,0.2255197607542668,16.036245999846102,0.0004222163741528849,1.3784813162873085e-05,-0.1889029158507124,7.529986336826005e-05,2.546911807847179,8.457659912756473,0.15370638324878538,Outputs/benth_models/ou_levy_model_24_calib_2010.pkl
24,2011,11.429155933083498,7.94349915238687,-161.77542568698462,0.7975172993724147,0.000801464393088228,0.22625175255537772,11.526818191191975,1.428415837647204e-05,-2.0647097061463325e-07,0.06863775105025544,3.013519616844806e-06,2.5488186763172527,8.643684320584143,0.13935251556171724,Outputs/benth_models/ou_levy_model_24_calib_2011.pkl
24,2012,11.431734499809076,7.942414937226825,-161.71027857532124,0.7982885112292106,0.0006461849994251387,0.22528520397946408,145.83347988946133,26.075535688223113,2.548550299436994,-1.6849932116514417,1.5130547840796442,2.501144800940939,8.490563268441303,0.09837041943638192,Outputs/benth_models/ou_levy_model_24_calib_2012.pkl
24,2013,11.424110332050017,7.955374879316758,-161.52642862794852,0.7984442353758505,0.0005581994410830079,0.2250901504898119,224.08751335885717,87.27064606621403,0.3436561503592581,-0.08729844072186321,4.085399260006307,2.5044069979959964,8.275379355128784,0.07863475224988115,Outputs/benth_models/ou_levy_model_24_calib_2013.pkl
24,2014,11.44771232212508,7.924729374711197,-161.4679708436437,0.798506643845341,0.00027260242157850555,0.22501199095424415,10.103617720679974,0.00033983668581986774,-5.92337958534466e-06,0.07821540520730702,7.660443944773073e-05,2.514756113048572,8.312437401270975,0.07333608561926308,Outputs/benth_models/ou_levy_model_24_calib_2014.pkl
