0,1,2,3,name,calib_year,A,B,C,phi,a
10.689655447381849,9.067602520113871e-05,-2.669244671743254,-7.469854369052449,11,2010,10.689655447381849,9.067602520113871e-05,7.932439184291407,-1.913991169893691,0.2392724074646065
10.66536335156377,9.547638479520615e-05,-2.6553973671714934,-7.448917677096892,11,2011,10.66536335156377,9.547638479520615e-05,7.908066118701074,-1.9132331273708207,0.24033764920096937
10.689288643609055,9.085233187973369e-05,-2.654512042023481,-7.440304895173777,11,2012,10.689288643609055,9.085233187973369e-05,7.8996563921726715,-1.9134936585478846,0.240263176631033
10.733872193037337,8.243355772281257e-05,-2.690268353363869,-7.443553670956707,11,2013,10.733872193037337,8.243355772281257e-05,7.914798485465325,-1.9176106999273326,0.23938093983779526
10.711047959273216,8.66700240042465e-05,-2.6837305371018525,-7.413971691292171,11,2014,10.711047959273216,8.66700240042465e-05,7.8847565488767435,-1.91810614508219,0.2397231348078921
10.704736066383376,8.778328706705896e-05,-2.6842063595230714,-7.401885059602525,11,2015,10.704736066383376,8.778328706705896e-05,7.873554865248046,-1.9186854682545853,0.24067577186564837
10.725338788298687,8.417011482990897e-05,-2.697537627921326,-7.399136020506504,11,2016,10.725338788298687,8.417011482990897e-05,7.875526846123264,-1.9203958102207097,0.24053199606803524
10.725217986288406,8.418285858193401e-05,-2.681818173147238,-7.407418007543173,11,2017,10.725217986288406,8.418285858193401e-05,7.877943275519167,-1.9181610444219233,0.2408320678384432
10.700082720232318,8.84510034306164e-05,-2.687909571758167,-7.425436234311715,11,2018,10.700082720232318,8.84510034306164e-05,7.896958980251735,-1.9181096060694238,0.2397956737613386
10.689955533769483,9.01367590959127e-05,-2.689812311384088,-7.423615979817429,11,2019,10.689955533769483,9.01367590959127e-05,7.895895420170793,-1.9184146624423244,0.24001581485469572
10.667008276729504,9.388480189189974e-05,-2.6830479385995147,-7.411991412361723,11,2020,10.667008276729504,9.388480189189974e-05,7.882662173260188,-1.9181102280642923,0.24060590713484206
10.701693803409055,8.835183257516382e-05,-2.6859748604827978,-7.400856418409552,11,2021,10.701693803409055,8.835183257516382e-05,7.87319100981676,-1.9189411760442823,0.23996031241822474
10.676605437461705,9.228496871043531e-05,-2.689339461824992,-7.408436956780418,11,2022,10.676605437461705,9.228496871043531e-05,7.8814646407580256,-1.919014336872569,0.23927663582464206
10.652661143499428,9.596924356168135e-05,-2.7039914764732518,-7.403452070738767,11,2023,10.652661143499428,9.596924356168135e-05,7.8817937342058215,-1.9209775452039297,0.2396304944720745
10.843039761076321,7.452851651761298e-05,-2.743943913428739,-7.476540791026301,24,2010,10.843039761076321,7.452851651761298e-05,7.964162881302894,-1.9225412183200024,0.23385261521685868
10.815869632299112,7.989593434049315e-05,-2.7359295077977213,-7.455939724011158,24,2011,10.815869632299112,7.989593434049315e-05,7.9420619136170085,-1.9224875936932564,0.23490438518961143
10.839100316721082,7.539926945834462e-05,-2.7423873635008493,-7.4527001390043335,24,2012,10.839100316721082,7.539926945834462e-05,7.941248504700274,-1.9233915538760187,0.23434232263573512
10.880567084750595,6.757712560298216e-05,-2.772068896342998,-7.455661558430473,24,2013,10.880567084750595,6.757712560298216e-05,7.954323053530715,-1.9267649251790655,0.23352604971195665
