,30,60,90,120,180,270,360,365,ISL,IISL,mid90,-270,-180,-120,-90,-60,-30
HBA,,,,,,,,,,,,,,,,,
Alaton,,,,,,,,,,,,,,,,,
Benth,,,,,,,,,,,,,,,,,
XGB,,,,,2.375,2.625,2.6375,2.6375,2.375,2.475,2.4,2.6375,2.55,2.5,,,
RandomForest,,,,,,,,,,,,,,,,,
SVM,,,,,3.5952380952380953,3.669642857142857,3.669642857142857,3.675675675675676,3.5952380952380953,3.6666666666666665,3.675675675675676,3.675675675675676,3.6576576576576576,3.3389830508474576,,,
KNN,,,,,4.595238095238095,4.669642857142857,4.669642857142857,4.675675675675675,4.595238095238095,4.666666666666667,4.675675675675675,4.675675675675675,4.657657657657658,4.338983050847458,,,
LSTM,,,,,1.4642857142857142,1.3928571428571428,1.375,1.3783783783783783,1.4642857142857142,1.5495495495495495,1.5495495495495495,1.3783783783783783,1.4954954954954955,1.6271186440677967,,,
FeedForwardNN,,,,,2.3452380952380953,1.9642857142857142,1.9732142857142858,1.972972972972973,2.3452380952380953,1.936936936936937,1.972972972972973,1.972972972972973,1.954954954954955,2.559322033898305,,,
