,30,60,90,120,180,270,360,365,ISL,IISL,mid90,-270,-180,-120,-90,-60,-30
HBA,,,,,,,,,,,,,,,,,
Alaton,,,,,,,,,,,,,,,,,
Benth,,,,,,,,,,,,,,,,,
XGB,1.9,1.975,1.925,1.775,1.6625,1.5375,1.5625,1.55,1.9375,1.9125,1.975,1.7625,1.8625,1.8375,2.2,2.225,2.2625
RandomForest,,,,,,,,,,,,,,,,,
SVM,3.75,3.7767857142857144,3.7857142857142856,3.8035714285714284,3.830357142857143,3.8482142857142856,3.8482142857142856,3.855855855855856,3.8392857142857144,3.8660714285714284,3.857142857142857,3.855855855855856,3.873873873873874,3.864864864864865,3.8828828828828827,3.873873873873874,3.873873873873874
KNN,4.678571428571429,4.651785714285714,4.642857142857143,4.625,4.598214285714286,4.580357142857143,4.580357142857143,4.585585585585585,4.589285714285714,4.5625,4.571428571428571,4.585585585585585,4.5675675675675675,4.576576576576577,4.558558558558558,4.5675675675675675,4.5675675675675675
LSTM,1.9910714285714286,2.142857142857143,2.080357142857143,2.2142857142857144,2.3392857142857144,2.4732142857142856,2.4285714285714284,2.4504504504504503,2.2232142857142856,2.2589285714285716,2.330357142857143,2.3333333333333335,2.225225225225225,2.135135135135135,1.882882882882883,1.90990990990991,1.5585585585585586
FeedForwardNN,1.7946428571428572,1.5892857142857142,1.6875,1.6607142857142858,1.6160714285714286,1.5714285714285714,1.5982142857142858,1.5945945945945945,1.5357142857142858,1.5178571428571428,1.4017857142857142,1.5585585585585586,1.5945945945945945,1.7027027027027026,1.6936936936936937,1.6486486486486487,1.972972972972973
