region,year,model,30,60,90,120,180,270,360,365,ISL,IISL,mid90,-270,-180,-120,-90,-60,-30
11,2010,HBA,,,,,,,,,,,,,,,,,
11,2010,Alaton,,,,,,,,,,,,,,,,,
11,2010,Benth,,,,,,,,,,,,,,,,,
11,2010,XGB,,,,,,,,,,,,,,,,,
11,2010,RandomForest,,,,,,,,,,,,,,,,,
11,2010,SVM,,,,,,,,,,,,,,,,,
11,2010,KNN,,,,,,,,,,,,,,,,,
11,2010,LSTM,,,,,,,,,,,,,,,,,
11,2010,FeedForwardNN,,,,,,,,,,,,,,,,,
11,2011,HBA,,,,,,,,,,,,,,,,,
11,2011,Alaton,,,,,,,,,,,,,,,,,
11,2011,Benth,,,,,,,,,,,,,,,,,
11,2011,XGB,,,,,,,,,,,,,,,,,
11,2011,RandomForest,,,,,,,,,,,,,,,,,
11,2011,SVM,11.632212473357942,11.355443498162257,11.442810621491624,11.957443665910336,11.64252443631417,10.883259883314315,11.235620576219766,11.256783503707723,11.8388696918677,9.178196258684546,9.155888018286001,11.167934519846558,10.955781068738304,11.92434832284735,12.05700199766592,12.595311590679254,13.161502747853888
11,2011,KNN,12.583778222433356,12.365284454701255,12.597704661315857,13.321060877187396,13.07225781289957,12.36260599707356,12.591580994576562,12.593167483102373,13.530176862114127,10.804361733245036,10.82895939483406,12.538623505644393,12.178660257131046,12.999504381059133,12.977743346749957,13.3733821014812,13.43038066023579
11,2011,LSTM,4.213821718149012,3.867092313269531,3.5432310294341764,3.3810405704792688,3.2708727030854843,3.0489556661005093,2.9846006528317326,2.979695320584446,2.973672872330498,2.5477785386410092,2.711547382314253,2.7816741272885146,2.672037109534368,2.7411688288117713,2.6962567832244013,2.2955103765443985,2.130567496384667
11,2011,FeedForwardNN,4.298372497293082,4.030909767445339,3.6654553245082404,3.460778221518835,3.286074510083781,3.2462312544233685,3.2031970381278265,3.1936230421384075,2.8567479125185185,3.1650403946775496,3.1027181573219065,3.023016456666511,3.103402292313347,3.103349180656768,3.0230670350772173,2.689781971572055,2.296226858426858
11,2012,HBA,,,,,,,,,,,,,,,,,
11,2012,Alaton,,,,,,,,,,,,,,,,,
11,2012,Benth,,,,,,,,,,,,,,,,,
11,2012,XGB,,,,,,,,,,,,,,,,,
11,2012,RandomForest,,,,,,,,,,,,,,,,,
11,2012,SVM,10.921019663732501,9.461049829636314,10.351722810864237,9.70437957662309,9.71184314940538,9.661339331403497,9.774529630043554,9.859558211197637,9.026717540963462,9.559531280992188,9.324309049821487,9.71537138076488,10.010460308856183,10.104386976078324,10.531930491032265,10.654556972111397,11.809168445035025
11,2012,KNN,13.793755077342803,11.900312506701592,12.602532353937729,11.99292176904425,11.881581946920216,11.605968794186992,11.567216196155663,11.63409618930777,11.113962272327253,11.034108746616829,10.955814819381576,11.313251131050578,11.379879767200908,11.465698441722127,11.832282211123427,11.781060212832843,12.64922592269469
11,2012,LSTM,2.9146822337340326,5.125327845841595,4.547831946440636,4.228767868726753,3.8802198576171643,3.5693407326535205,3.4941602417898556,3.5027617518372822,3.070738815631691,2.847519536446691,2.8465461734870203,3.1031904613989663,3.119692869242565,3.157351295336037,3.3302940775700134,3.376262607714504,4.055630144487072
11,2012,FeedForwardNN,3.3095536218961232,4.8754840497477385,4.797823656039165,4.453963284708858,4.171182735586147,3.815852321745857,3.7396450983038743,3.7595212444748536,3.431970132861711,2.9807140078873524,3.2661654557358237,3.3756378160236777,3.3411982528335926,3.4328544412353543,3.6220437908151375,3.840719346378908,4.908039767087171
11,2013,HBA,,,,,,,,,,,,,,,,,
11,2013,Alaton,,,,,,,,,,,,,,,,,
11,2013,Benth,,,,,,,,,,,,,,,,,
11,2013,XGB,,,,,,,,,,,,,,,,,
11,2013,RandomForest,,,,,,,,,,,,,,,,,
11,2013,SVM,8.060903397045472,8.00874104341633,7.805082839013257,8.26706152294086,8.154506807100681,8.904627692405231,9.331981513577714,9.371488147635704,8.489560907976541,10.241348567788698,9.593910808344313,9.905984219179294,10.477364993514593,10.35900141233114,10.496453182110569,9.94385490237273,10.756778705289719
11,2013,KNN,10.90056018813924,10.074685603587675,9.86722750425419,10.25124555270066,10.117606131014574,10.774928414211871,11.044763076076979,11.071660865533643,10.361936547961342,11.981875452093618,11.325546354277426,11.510012298418136,11.974807552337946,11.711982836740772,11.764283235132877,10.988444546923533,11.590453287124118
11,2013,LSTM,4.803778707418905,4.145993162746222,4.205878165116439,4.175109792065819,3.929885899950162,3.6141985511221892,3.4873467122649626,3.4686155056231995,3.632987095139614,2.8808483347005605,3.3479693043576133,3.1821773867866856,2.9548261231836825,3.028964021081013,3.058289679815979,2.9866826405111215,2.581297979850034
11,2013,FeedForwardNN,5.592681660161139,4.725445942881996,4.537768580494489,4.607566938815342,4.404167595759514,4.101143015911919,3.9124673531754497,3.891641794440121,4.266384972427278,3.4153678700563224,3.9346453473265375,3.6420326071540807,3.3248503167077432,3.30217006361708,3.294489974523176,3.1182099860419306,2.6071949178800606
11,2014,HBA,,,,,,,,,,,,,,,,,
11,2014,Alaton,,,,,,,,,,,,,,,,,
11,2014,Benth,,,,,,,,,,,,,,,,,
11,2014,XGB,,,,,,,,,,,,,,,,,
11,2014,RandomForest,,,,,,,,,,,,,,,,,
