,30,60,90,120,180,270,360,365,ISL,IISL,mid90,-270,-180,-120,-90,-60,-30
HBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XGB,0,0,0,0,12,6,6,6,12,12,16,6,8,3,0,0,0
RandomForest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SVM,0,0,0,0,1,1,1,1,1,1,1,1,1,3,0,0,0
KNN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSTM,0,0,0,0,49,77,79,78,49,66,62,78,72,34,0,0,0
FeedForwardNN,0,0,0,0,22,28,26,26,22,32,32,26,30,19,0,0,0
