,30,60,90,120,180,270,365,ISL,IISL,mid90,-270,-180,-120,-90,-60,-30
HBA,4.0375,4.325,4.2375,4.1,4.8125,4.25,5.075,4.775,4.225,4.7125,4.925,5.0,4.825,5.15,4.5375,5.2125
Alaton,4.2125,3.925,4.2875,3.8,3.6,3.8125,3.1125,4.4625,4.6625,4.4125,4.3375,3.8125,3.9875,4.575,4.6875,4.35
Benth,3.3,4.925,5.575,5.2625,4.55,5.2,4.8,3.8,5.3,4.25,4.0375,4.3375,3.8125,4.0375,3.675,4.25
XGB,3.8375,3.3375,3.05,2.775,3.2375,2.775,2.9625,3.5125,3.225,3.5,3.3625,3.2375,3.4875,3.525,3.625,3.575
WaveletFNN,4.1375,4.0875,4.225,4.4375,4.4,4.3375,4.4,4.3375,4.15,4.3,4.35,4.55,4.4375,4.525,4.45,4.375
LSTM,4.6375,4.275,3.8875,4.325,4.4,4.4875,4.475,3.9625,3.5625,3.7375,4.0,3.9625,3.9625,3.2375,3.5,2.7125
FeedForwardNN,3.8375,3.125,2.7375,3.3,3.0,3.1375,3.175,3.15,2.875,3.0875,2.9875,3.1,3.4875,2.95,3.525,3.525
