region,year,date,actual,model,forecast
11,2010,2010-01-01,-0.175,HBA,
11,2010,2010-01-02,-0.01875,HBA,
11,2010,2010-01-03,-0.0562499999999999,HBA,
11,2010,2010-01-04,-4.44375,HBA,
11,2010,2010-01-05,-3.085714285714286,HBA,
11,2010,2010-01-06,-4.10625,HBA,
11,2010,2010-01-07,-5.021428571428571,HBA,
11,2010,2010-01-08,-6.34375,HBA,
11,2010,2010-01-09,-2.56875,HBA,
11,2010,2010-01-10,-1.1625,HBA,
11,2010,2010-01-11,-0.525,HBA,
11,2010,2010-01-12,-0.4571428571428572,HBA,
11,2010,2010-01-13,0.8642857142857142,HBA,
11,2010,2010-01-14,2.775,HBA,
11,2010,2010-01-15,1.7937500000000002,HBA,
11,2010,2010-01-16,5.1875,HBA,
11,2010,2010-01-17,6.707142857142857,HBA,
11,2010,2010-01-18,2.85,HBA,
11,2010,2010-01-19,1.44375,HBA,
11,2010,2010-01-20,2.5,HBA,
11,2010,2010-01-21,4.725,HBA,
11,2010,2010-01-22,5.5625,HBA,
11,2010,2010-01-23,3.73125,HBA,
11,2010,2010-01-24,4.2375,HBA,
11,2010,2010-01-25,3.685714285714286,HBA,
11,2010,2010-01-26,-0.45,HBA,
11,2010,2010-01-27,-1.757142857142857,HBA,
11,2010,2010-01-28,3.53125,HBA,
11,2010,2010-01-29,3.825,HBA,
11,2010,2010-01-30,0.2916666666666666,HBA,
11,2010,2010-01-31,0.5428571428571428,HBA,
11,2010,2010-02-01,2.0571428571428574,HBA,
11,2010,2010-02-02,3.628571428571429,HBA,
11,2010,2010-02-03,8.3125,HBA,
11,2010,2010-02-04,6.48125,HBA,
11,2010,2010-02-05,8.22857142857143,HBA,
11,2010,2010-02-06,6.28125,HBA,
11,2010,2010-02-07,4.225,HBA,
11,2010,2010-02-08,2.09375,HBA,
11,2010,2010-02-09,-1.1875,HBA,
11,2010,2010-02-10,-1.56875,HBA,
11,2010,2010-02-11,-3.15625,HBA,
11,2010,2010-02-12,-2.05,HBA,
11,2010,2010-02-13,-3.45625,HBA,
11,2010,2010-02-14,-0.7000000000000001,HBA,
11,2010,2010-02-15,-0.125,HBA,
11,2010,2010-02-16,-0.6214285714285716,HBA,
11,2010,2010-02-17,0.6124999999999999,HBA,
11,2010,2010-02-18,5.891666666666667,HBA,
11,2010,2010-02-19,4.8500000000000005,HBA,
11,2010,2010-02-20,2.425,HBA,
11,2010,2010-02-21,4.4,HBA,
11,2010,2010-02-22,9.63125,HBA,
11,2010,2010-02-23,10.8,HBA,
11,2010,2010-02-24,8.993749999999999,HBA,
11,2010,2010-02-25,9.74375,HBA,
11,2010,2010-02-26,8.0125,HBA,
11,2010,2010-02-27,8.6375,HBA,
11,2010,2010-02-28,8.671428571428573,HBA,
11,2010,2010-03-01,5.5125,HBA,
11,2010,2010-03-02,7.55,HBA,
11,2010,2010-03-03,5.283333333333333,HBA,
11,2010,2010-03-04,4.41875,HBA,
11,2010,2010-03-05,1.91875,HBA,
11,2010,2010-03-06,2.85,HBA,
11,2010,2010-03-07,0.16875,HBA,
11,2010,2010-03-08,1.4,HBA,
11,2010,2010-03-09,0.6928571428571428,HBA,
11,2010,2010-03-10,2.6666666666666665,HBA,
11,2010,2010-03-11,2.3857142857142857,HBA,
11,2010,2010-03-12,2.221428571428571,HBA,
11,2010,2010-03-13,5.1125,HBA,
11,2010,2010-03-14,6.008333333333333,HBA,
11,2010,2010-03-15,7.0625,HBA,
11,2010,2010-03-16,7.65625,HBA,
11,2010,2010-03-17,9.75,HBA,
11,2010,2010-03-18,12.075,HBA,
11,2010,2010-03-19,15.114285714285714,HBA,
11,2010,2010-03-20,13.9375,HBA,
11,2010,2010-03-21,9.928571428571429,HBA,
11,2010,2010-03-22,9.335714285714284,HBA,
11,2010,2010-03-23,10.142857142857142,HBA,
11,2010,2010-03-24,13.225,HBA,
11,2010,2010-03-25,14.828571428571427,HBA,
11,2010,2010-03-26,10.2,HBA,
11,2010,2010-03-27,9.457142857142856,HBA,
11,2010,2010-03-28,10.46875,HBA,
11,2010,2010-03-29,14.042857142857144,HBA,
11,2010,2010-03-30,8.74,HBA,
11,2010,2010-03-31,7.641666666666667,HBA,
11,2010,2010-04-01,6.916666666666667,HBA,
11,2010,2010-04-02,7.65,HBA,
11,2010,2010-04-03,8.725,HBA,
11,2010,2010-04-04,8.1,HBA,
11,2010,2010-04-05,7.390000000000001,HBA,
11,2010,2010-04-06,10.425,HBA,
11,2010,2010-04-07,12.5,HBA,
11,2010,2010-04-08,10.475,HBA,
11,2010,2010-04-09,10.39,HBA,
11,2010,2010-04-10,11.558333333333332,HBA,
11,2010,2010-04-11,8.6,HBA,
11,2010,2010-04-12,8.12142857142857,HBA,
11,2010,2010-04-13,11.15,HBA,
11,2010,2010-04-14,10.23,HBA,
11,2010,2010-04-15,10.25,HBA,
11,2010,2010-04-16,10.35,HBA,
11,2010,2010-04-17,10.69,HBA,
11,2010,2010-04-18,12.41,HBA,
11,2010,2010-04-19,12.919999999999998,HBA,
11,2010,2010-04-20,11.764285714285714,HBA,
11,2010,2010-04-21,9.466666666666669,HBA,
11,2010,2010-04-22,9.792857142857144,HBA,
11,2010,2010-04-23,11.285714285714286,HBA,
11,2010,2010-04-24,14.457142857142856,HBA,
11,2010,2010-04-25,15.65,HBA,
11,2010,2010-04-26,12.2,HBA,
11,2010,2010-04-27,13.025,HBA,
11,2010,2010-04-28,16.675,HBA,
11,2010,2010-04-29,19.571428571428573,HBA,
11,2010,2010-04-30,14.664285714285716,HBA,
11,2010,2010-05-01,12.842857142857143,HBA,
11,2010,2010-05-02,11.5,HBA,
11,2010,2010-05-03,7.25,HBA,
11,2010,2010-05-04,8.85,HBA,
11,2010,2010-05-05,8.133333333333333,HBA,
11,2010,2010-05-06,10.0,HBA,
11,2010,2010-05-07,9.225,HBA,
11,2010,2010-05-08,11.666666666666666,HBA,
11,2010,2010-05-09,13.066666666666668,HBA,
11,2010,2010-05-10,11.25,HBA,
11,2010,2010-05-11,6.7,HBA,
11,2010,2010-05-12,7.671428571428571,HBA,
11,2010,2010-05-13,7.478571428571429,HBA,
11,2010,2010-05-14,9.057142857142855,HBA,
11,2010,2010-05-15,11.171428571428573,HBA,
11,2010,2010-05-16,11.492857142857144,HBA,
11,2010,2010-05-17,13.891666666666666,HBA,
11,2010,2010-05-18,11.71,HBA,
11,2010,2010-05-19,13.341666666666669,HBA,
11,2010,2010-05-20,14.683333333333332,HBA,
11,2010,2010-05-21,17.021428571428572,HBA,
11,2010,2010-05-22,17.983333333333334,HBA,
11,2010,2010-05-23,18.928571428571427,HBA,
11,2010,2010-05-24,21.071428571428573,HBA,
11,2010,2010-05-25,21.708333333333332,HBA,
11,2010,2010-05-26,17.064285714285713,HBA,
11,2010,2010-05-27,15.207142857142856,HBA,
11,2010,2010-05-28,14.7375,HBA,
11,2010,2010-05-29,13.771428571428572,HBA,
11,2010,2010-05-30,14.935714285714283,HBA,
11,2010,2010-05-31,13.6,HBA,
11,2010,2010-06-01,13.135714285714286,HBA,
11,2010,2010-06-02,16.535714285714285,HBA,
11,2010,2010-06-03,17.433333333333334,HBA,
11,2010,2010-06-04,20.025,HBA,
11,2010,2010-06-05,21.97142857142857,HBA,
11,2010,2010-06-06,19.7,HBA,
11,2010,2010-06-07,17.349999999999998,HBA,
11,2010,2010-06-08,19.008333333333333,HBA,
11,2010,2010-06-09,16.771428571428572,HBA,
