departement_code,station_id,distance_m,weight
01,07100,6426199.369681481,0.20196288035434104
01,07103,6445234.302237494,0.20077171404417163
01,07200,6466986.200117571,0.19942338233571266
01,07109,6472673.096549975,0.19907310915060433
01,07110,6477624.0776595455,0.1987689141151705
02,07100,6531805.410636811,0.20186894775097822
02,07103,6549358.231256532,0.20078834686082866
02,07200,6570248.651253115,0.19951354442098046
02,07109,6577414.309075238,0.19907906759747662
02,07110,6582855.577322544,0.19875009336973612
03,07100,7187263.329342488,0.20079832882568227
03,07103,7191732.343980423,0.20054885017149504
03,07200,7204686.998228502,0.19982828999656047
03,07600,7205232.25766162,0.19979804693610284
03,07602,7219184.953937081,0.19902648407015947
04,07770,10571365.02511359,0.20056014641846456
04,07768,10574309.838706039,0.2004484549671629
04,07780,10585745.069201505,0.2000156207714347
04,07765,10593014.714546863,0.19974118639475127
04,07775,10606473.624319488,0.1992345914481867
06,07770,8406760.549168978,0.20094391811501708
06,07768,8413644.789894044,0.20061521862842335
06,07780,8422055.435671203,0.2002147318243583
06,07765,8436162.72395422,0.1995456775581579
06,07775,8454511.882640447,0.19868045387404337
11,07149,11218.928781015391,0.38151642418711273
11,07153,13341.85780460914,0.26976363545295057
11,07148,16858.518039772563,0.16895740520065558
11,07156,20983.985904330064,0.10905361070984983
11,07147,26059.78899543115,0.07070892444943133
24,LFOQ0,36523.3590149436,0.24272009316311408
24,07247,36651.872049008154,0.24102097068226647
24,07249,37656.44334232391,0.22833293434821295
24,LFOZ0,44875.87981280224,0.16077599363663214
24,07140,50462.107119701184,0.12715000816977437
27,07280,11425.7921644478,0.853794340462279
27,07386,45196.98831146327,0.05456409020583075
27,LFLH0,49414.18852244061,0.045648086367689675
27,07283,68821.98218628355,0.023532689136776946
27,07276,70445.03757445524,0.022460793827423692
28,07031,30715.50667958817,0.3526343558252299
28,07027,35750.19595503678,0.26030537509996104
28,07028,45734.70349755527,0.15905533970488284
28,07046,47704.16910726181,0.1461932488431458
28,07029,63769.40102385512,0.08181168052678052
32,07059,12906.383965994179,0.43011369103446945
32,LFAQ0,13351.96851729372,0.40188503079339166
32,07061,28620.01266195199,0.08746872303943012
32,07017,33198.067450780036,0.06500800276281044
32,07015,67933.91935547594,0.015524552369898413
44,07179,18494.299832497145,0.5065274283903279
44,07181,30765.25198303643,0.183044971478952
44,07180,38450.363055616835,0.11718657625779345
44,07090,42158.96260962595,0.09747627490752583
44,07093,42534.03073747514,0.09576474896540087
52,07222,42122.27730417811,0.35403530675985656
52,07230,46452.6914361276,0.2911042172732573
52,LFJR0,67259.26799218805,0.1388564276171699
52,07217,76076.57479733141,0.10853463711993487
52,LFOV0,76452.67676598042,0.1074694112297813
53,07120,41645.42249007112,0.3590265552952425
53,LFRV0,50170.65373800602,0.24737829778352263
53,07205,60371.60429486687,0.17084240767389658
53,07203,72627.00130305171,0.1180497008884673
