departement_code,station_id,distance_m,weight
01,07482,10397.027128805496,0.8377106022506885
01,07481,40405.14426901013,0.055467557568649094
01,07385,45102.81469810439,0.04451486652491834
01,07480,46890.00566475734,0.041186206812893554
01,LFLP0,65478.895034237925,0.02112076684285041
02,07070,35976.70256683624,0.3525057189256591
02,07072,48831.22343187683,0.19134347983523625
02,LFQA0,48972.27207802679,0.1902428622199985
02,07061,49411.67361849091,0.1868743738342704
02,LFFS0,75979.88863614804,0.07903356518483574
03,07374,28782.903949222655,0.5674219666584581
03,07362,62851.69507997745,0.11899846839488554
03,07460,64381.1346672181,0.11341176477743216
03,07379,66410.43018030193,0.10658664067550949
03,07260,70875.0649348937,0.0935811594937148
04,07588,17787.23742701494,0.7718203509236002
04,07591,51603.9323042426,0.09169964116599215
04,07657,56885.6132144336,0.07546200529983314
04,07675,88412.81825393483,0.031239405546124224
04,07586,90555.43023680244,0.029778597064450244
05,07591,15774.612556816019,0.7724667263840979
05,07593,38051.50500734369,0.1327558008094125
05,07588,70649.46442811127,0.038510524722718334
05,07487,73759.54529413776,0.03533138990226761
05,07657,95820.03380841335,0.02093555818150363
06,07695,25992.24353358442,0.3642990443232495
06,07690,28661.66876595346,0.2996005604878106
06,07688,38676.65837610032,0.16453097753852414
06,07684,45873.42834069285,0.11695617875484572
06,07680,67131.10821052575,0.0546132388955702
07,07570,31269.458862828713,0.3788083195900102
07,07577,36822.05007015384,0.27317711323376637
07,LFLU0,45634.24859981726,0.17786005893068854
07,07471,58352.40090910666,0.10877842846225445
07,LFNB0,77683.81530654081,0.06137607978328043
08,07075,11134.702017439726,0.8974113310220891
08,LFFS0,62302.16148611942,0.028664377762147957
08,07070,66201.27005888568,0.02538727598405768
08,07072,67693.38878831225,0.024280422267986712
08,LFQA0,67726.63109871122,0.02425659296371852
09,07627,25546.529423283948,0.607690031701752
09,LFBR0,57927.398449290435,0.1181892236056724
09,07628,58155.08781393136,0.11726556412022317
09,07631,66200.87883120641,0.09049371534751173
09,07630,77306.31663109316,0.0663614652248406
10,07168,12282.556574570766,0.8571465354953484
10,07166,50518.1666891433,0.050668431147952886
10,07276,59278.03390244967,0.036799764458911095
10,07169,63315.530637509255,0.03225611944003313
10,07265,74771.56643088357,0.023129149457754614
11,07635,23895.054399663422,0.5759153281587027
11,07747,46217.775332398916,0.15394181777252938
11,07666,47051.018765269706,0.1485376750653239
11,LFMU0,73325.13305223786,0.06116020962945257
11,07638,73757.68231177158,0.060444969373991346
12,07552,9486.088779956044,0.6648757604742596
12,07555,14806.051745896772,0.27292061678355223
12,07558,46334.51310648799,0.027867991050676773
12,07632,54325.56097552856,0.020272458992493952
12,07549,65225.254134421695,0.014063172699017442
13,07649,4665.688608946936,0.8557474294371514
13,07650,15296.844830080598,0.07961105540081302
13,07648,23103.639089207252,0.034899268217341996
13,07653,35020.63207004522,0.015188998651164052
13,07647,35777.38401636815,0.014553248293529629
14,07027,18322.529285786997,0.6320184070116288
14,07031,41760.4343395333,0.12166637313641072
14,07029,47797.12119021242,0.09287462989045943
14,07028,51415.523824682336,0.0802623823642173
14,07046,53846.738610202,0.07317820759728365
15,07549,27891.020900951204,0.6830156446082287
15,07552,74141.4521434851,0.09665788718866349
15,07554,82394.80017831894,0.07826360776793442
15,07471,83935.47600770053,0.0754168446767023
15,07460,89287.90665373461,0.06664601575847119
16,LFBU0,14066.399093858205,0.7724464508911858
16,07412,30932.16778033442,0.15973994771801103
16,07428,76315.32744255326,0.026242832494781914
16,07330,82778.30513769535,0.022304946820145347
16,07434,89068.33903583144,0.019265822075875804
17,07412,40110.36926507367,0.38915807857855317
17,07315,54126.283300241914,0.21370907187692342
17,07314,57619.89809659832,0.18857946491905053
17,07330,74250.12818678975,0.11356511769977917
17,LFBU0,81186.66531754659,0.0949882669256937
18,07257,6240.444355561396,0.8458855389398954
18,07255,16534.76325495911,0.12048879704183633
18,07260,39908.22760389994,0.020683200868494546
18,07354,68216.2425708047,0.007078920613239565
18,07247,74953.38918770233,0.005863542536534163
19,07438,34786.5711620805,0.5314296051831993
19,07549,68032.3140463843,0.13894358647272576
19,07535,73478.1206319634,0.11911128556360166
19,07434,76424.18936090486,0.11010506808288818
19,07428,80028.56486364918,0.10041045469758511
21,07280,33502.306250296424,0.42892408569420565
21,07276,45209.349717716505,0.23554469217353532
21,07283,58901.631461748184,0.13876348375527053
21,07386,69429.19217040596,0.09987243036960163
21,LFLH0,70487.73371363254,0.096895308007387
22,07120,9152.190891596207,0.9005367957671983
22,07121,45999.74286372954,0.03564846173417108
22,07125,55845.13924413863,0.024186935478797595
22,07118,59386.89131857369,0.02138801194642324
22,07117,64308.12153428526,0.018239795073409875
23,07361,13459.045773099026,0.7740783490456197
23,07362,29231.4729798531,0.16410131472285072
23,07434,70637.5057650624,0.028102357168775266
23,07354,89784.92119720738,0.01739428770235365
23,07460,92682.4579796734,0.016323691360400697
24,07428,17181.05820730839,0.7183973245849153
24,07530,36728.278075092574,0.15720392636124927
24,07438,66935.6623813799,0.047331404713726155
24,LFBU0,72890.84540670067,0.03991338396388233
24,07535,75549.17140400564,0.037153960376226786
25,07288,27917.673269233517,0.5891923773983951
25,LFSM0,61789.59230223185,0.12027764071880713
25,07386,62139.18063945762,0.11892810948300522
25,07296,72946.11033332386,0.08630009656551363
25,LFYL0,73371.72738715127,0.08530177583427881
26,LFLU0,30264.531108674706,0.4967019795115017
26,07577,43499.437718590314,0.240434344434414
26,07486,71277.55557185272,0.08954847525917503
26,07487,72316.08491580881,0.08699493704366369
26,07570,72598.14364361794,0.08632026375124564
27,07038,16679.413807061253,0.6476772716941576
27,07146,35629.79759398541,0.14193631098964068
27,07037,35817.14889919989,0.14045532181393985
27,07031,69205.50494366097,0.03762174543071111
27,07053,74678.5713441686,0.03230935007155086
28,07143,8214.787611935632,0.8980216302407972
28,07146,42252.725851988784,0.0339445466491671
28,07140,44153.69538273931,0.03108460565810762
28,07145,57157.66485903438,0.018549427963625662
28,07249,57389.614975592915,0.018399789488302544
29,07106,33894.91725750187,0.23701421816433918
29,07201,34309.50434903669,0.23132079036443345
29,07109,35822.043978659196,0.21219875436478836
29,LFRU0,41205.34561712336,0.16037491280032087
29,07110,41371.23917582646,0.1590913243061181
2A,07761,18209.463882714434,0.5631205857349262
2A,07765,32615.17008268207,0.17553205121662543
2A,07780,42424.062138160945,0.1037459669290335
2A,07768,42602.87939679261,0.10287688782596213
2A,07770,58412.65245855797,0.05472450829345277
2B,07753,27509.582400905634,0.29521076375437316
2B,07754,27641.314217949555,0.2924036625388294
2B,07790,33984.93696723782,0.19343152083420148
2B,07775,40616.61435424553,0.13542309811061168
2B,07791,51716.17177052282,0.08353095476198424
30,07645,13400.940507161386,0.6385386902642085
30,07646,25197.025944542373,0.18061724314676697
30,07589,37205.87359753209,0.0828389838422977
30,07579,47721.57089879738,0.050353343435260545
30,07643,49055.7035986296,0.04765173931146619
31,07628,29296.494823865607,0.28194116822260196
31,LFBR0,29523.207636466628,0.2776276632683228
31,07627,34703.160207853296,0.2009332316956358
31,07631,41567.41377692273,0.1400502248403297
31,07630,49328.45485302995,0.09944771197310988
32,07622,15411.695987232453,0.8226524179926997
32,07524,56920.49982548631,0.06030868173364812
32,07621,65343.304337607886,0.045763060442919175
32,07628,73837.6925455758,0.035839423304981674
32,LFBR0,74256.37150423831,0.03543641652575143
33,07510,10154.306456602995,0.9130473425330847
33,07502,57982.55368414706,0.028002651257437942
33,07500,58815.7301800279,0.027214906290117285
33,07503,72383.95042918349,0.017968394179733508
33,07517,82695.50427609784,0.013766705739626581
34,07638,29946.19302975377,0.30094720485362303
34,LFMU0,30523.4341296204,0.2896721655837118
34,07641,34338.36487731168,0.22888341844284701
34,07643,49822.36583368216,0.108723859513062
34,07560,61320.425986045186,0.07177335160675613
35,07130,13034.964881083637,0.8740476654493246
35,07125,53636.23372185511,0.051622412746222514
35,LFOV0,71249.31261520555,0.029254554602558255
35,07133,73046.44926684769,0.027832782634367143
35,LFRV0,92806.03995291777,0.017242584567527523
36,07354,14937.619427623416,0.8477374774906933
36,07247,56776.61893582254,0.05867932522684325
36,07255,69658.09344702595,0.03898351516716701
36,07361,78272.21535898387,0.03087513835596858
36,07257,89292.12271941525,0.023724543759327817
37,07240,25651.80634980247,0.6755640463910264
37,LFOQ0,64646.41004383176,0.10636864049994818
37,07335,75968.24872370197,0.07702615229605085
37,07247,76635.05188999274,0.07569157149550969
37,LFJR0,82476.416955479,0.0653495893174648
38,07487,18238.016933710715,0.546427057373743
38,07486,25455.840755110523,0.28048686888035546
38,07491,44820.98178079843,0.0904741881458585
38,07481,65906.46937250927,0.04184382059163904
38,LFLU0,66770.3516148352,0.04076806500840397
39,07386,40427.238616005285,0.43291123949278776
39,07288,55324.723877463264,0.23115777574310853
39,LFLH0,73771.7471389558,0.13000704260046794
39,07280,76301.28834676668,0.12152993759773606
39,07385,91562.51454521634,0.08439400456589982
40,07607,17700.295142097104,0.6379731761773352
40,07517,31422.09559307847,0.2024385155670195
40,07603,53673.982562700345,0.06938023932269763
40,07503,65708.48801627179,0.04629355014802536
40,07502,67464.86466275352,0.04391451878492246
41,LFOQ0,6612.551139525816,0.9279366578286541
41,07140,43506.3239093714,0.021436389592200913
41,07247,48378.37225568829,0.01733620026920346
41,07249,49300.05373694012,0.016694047079228096
41,07240,49444.418001603495,0.016596705230713497
42,07475,31787.53402623898,0.38851975909594166
42,07477,32913.41671574448,0.3623938760557418
42,07374,67561.58916644403,0.08600566815910658
42,07460,68211.4606093351,0.08437467025672557
42,07480,70625.15271470508,0.0787060264324845
43,07471,4556.326506473124,0.982368074425531
43,07475,62076.66287052688,0.0052923333598842845
43,07554,68181.69210365563,0.00438700738919701
43,LFNB0,69068.83908648716,0.00427503429823245
43,07570,74468.50478052876,0.00367755052715529
44,07217,24434.73223114586,0.39654771920081294
44,07222,26145.4132786786,0.3463535173915727
44,07216,36207.27068505578,0.18060054103936582
44,07306,78574.52445072371,0.038348387055902544
44,LFRV0,78778.73060608757,0.03814983531234603
45,LFOZ0,10837.788031453914,0.8865658678323082
45,07249,42130.57253040311,0.05866750117404017
45,07140,70384.24935565116,0.021020417915874084
45,07148,76021.33885848674,0.0180186099729577
45,07247,81370.10676927427,0.015727603104819854
46,07535,24452.931897672228,0.6492172623676725
46,07438,59908.29338431102,0.10816282949934618
46,07549,67311.46572964678,0.08567889179370343
46,07540,70265.35256553466,0.07862659638557982
46,07552,70405.25892662731,0.07831441995369812
47,07524,24533.700675153996,0.6296971278548877
47,07530,49558.11482339786,0.15432215593804588
47,07517,61779.35627144015,0.0993049917443501
47,07622,77711.17111710177,0.06276115528541025
47,07540,83844.7451401369,0.05391456917730615
48,LFNB0,5448.588557221628,0.541450742747919
48,07554,6020.815311098621,0.44342111632228687
48,07560,48208.583956271614,0.0069163702129071275
48,07471,62456.83882994923,0.004120661911300445
48,07558,62682.018879001036,0.004091108805586516
49,LFJR0,15387.914128095477,0.48782015900185904
49,07230,16003.301497982218,0.45102444102583955
49,07235,71626.97320941246,0.02251469422010308
49,LFOV0,72565.155852468,0.02193628029921976
49,07240,83156.0505206332,0.0167044254529784
50,07133,40793.68889557886,0.2892939895037743
50,07029,44308.546753202885,0.24521687718562765
50,07034,48792.492076036775,0.20221779437583134
50,07027,59232.70351743257,0.13721521141440815
50,07024,61798.894209881575,0.1260561275203587
51,07166,22910.058517022375,0.3157656470538205
51,LFFS0,26682.541614579222,0.2327892313501783
51,LFQA0,30162.494354001203,0.18217247971100414
51,07072,30301.55735945073,0.18050422742921046
51,07070,43209.516547725325,0.08876841445578651
52,LFYD0,31297.452669759496,0.37962850281578386
52,07283,33504.41575504988,0.3312628214025668
52,07276,61036.41940498626,0.0998156634345045
52,07169,61557.536937253615,0.09813283061059501
52,LFSG0,63868.36613068593,0.0911601817365498
53,LFOV0,14098.252323166682,0.8577334302840494
53,07139,66578.17709750385,0.03846086922260712
53,07235,67854.49740531691,0.037027604744819136
53,LFJR0,71098.49282099002,0.03372578804953717
53,07230,71819.19849136686,0.03305230769898702
54,07090,17948.543409299004,0.4044372363846918
54,07093,19711.92046074572,0.3353139930456896
54,07180,34712.83691184416,0.10812580100201631
54,07181,41361.79976552785,0.07615715256746149
54,07179,41413.85611634508,0.0759658170001408
55,07179,26094.208217017585,0.550318190162908
55,07090,52352.99525878567,0.1367159067902423
55,07169,57302.20015587256,0.11411941074842429
55,07093,60485.626992394944,0.1024230587390832
55,07181,62338.98996499228,0.09642343355934223
56,LFRV0,13354.76671275782,0.8268735127153295
56,07205,48101.406977916,0.0637376625780469
56,07203,55016.145057600974,0.048722703643916926
56,07207,65749.334482576,0.034113711305838776
56,07217,74525.32444611556,0.026552409756868005
57,07093,20411.19691270864,0.5235686930673905
57,07090,29115.897138673725,0.2573062065316825
57,07180,44101.604642125625,0.11215065946769864
57,07181,63829.168225971254,0.05353924527083644
57,07186,63891.28243712788,0.053435195662391965
58,07260,35728.39973986034,0.546212189504812
58,07257,67949.96446454349,0.15101150974119576
58,07265,76361.45565841618,0.11957492580439222
58,07379,85397.97594496504,0.09560780828622217
58,07255,89219.16481085915,0.0875935666633777
59,07015,3789.6073716616747,0.5265890922631726
59,KQIH0,4036.155072346892,0.4642208092222148
59,07017,35634.594916510716,0.00595547820340855
59,07059,68271.60152775468,0.0016224828335213537
59,LFAQ0,68490.30636548401,0.0016121374776827762
60,07057,19681.218502773176,0.423169429553185
60,07055,22151.852654845534,0.33403974534485054
60,LFPT0,44293.32880451002,0.08354906831440695
60,07157,44953.29099067201,0.08111389734952228
60,07053,45804.29079290823,0.07812785943803528
61,07139,20261.517505894837,0.7682682948486428
61,07146,61509.38228402001,0.08336315025779065
61,07235,71833.39604983301,0.061122914075264816
61,07038,82377.28005414156,0.046477413656759364
61,07027,87956.41333744163,0.04076822716154251
62,07003,43606.502394582814,0.27542151175229895
62,07005,50839.10211293588,0.20263040961634093
62,07002,51026.6442081278,0.20114366100354436
62,LFAC0,54384.56584859102,0.17707164991729726
62,07010,60363.20472237042,0.1437327677105186
63,07460,6850.663551281455,0.9632481762408543
63,07374,49593.42985065967,0.018380409537909016
63,07362,72692.48679267806,0.008555086815717343
63,07471,94275.16229767869,0.0050863810908409746
