region,calibration_year,calibration_end,prediction_year,train_start,train_end,prediction_start,prediction_end,n_calibration_rows,n_prediction_rows,fit_MAE,fit_MAPE,fit_Bias,fit_R2,fit_RMSE,pred_year_MAE,pred_year_MAPE,pred_year_Bias,pred_year_R2,pred_year_RMSE,export_path
11,2010,2010-12-31,2011,1975-01-01,2010-12-31,2011-01-01,2011-12-31,13140,365,1.5873806641539043,0.16327884555190111,1.3751070482718258e-05,0.6207018700070803,1.9806060296271388,1.6788149003544517,0.16982290972900005,0.11905430814412084,0.5075890445988249,2.0860695928061075,../Outputs/xgBoost_rolling_exports/paper_xgboost_region_11_calib_2010_predict_2011.pkl
11,2011,2011-12-31,2012,1975-01-01,2011-12-31,2012-01-01,2012-12-31,13505,365,1.5896195024607347,0.16345836476038808,4.73195928154257e-05,0.6188820376999684,1.982098643785128,1.7195203030602046,0.1614882826879262,0.2115994773403247,0.6349405565732702,2.1137684848046248,../Outputs/xgBoost_rolling_exports/paper_xgboost_region_11_calib_2011_predict_2012.pkl
11,2012,2012-12-31,2013,1975-01-01,2012-12-31,2013-01-01,2013-12-31,13870,365,1.5918368649399592,0.1634228985409307,2.4000131651754776e-05,0.6196813772989214,1.9859321467161637,1.6086583990180374,0.16438168147697416,0.2132026586309789,0.6119135111683152,2.0323110514371345,../Outputs/xgBoost_rolling_exports/paper_xgboost_region_11_calib_2012_predict_2013.pkl
11,2013,2013-12-31,2014,1975-01-01,2013-12-31,2014-01-01,2014-12-31,14235,365,1.5928649903689203,0.16372715915191222,-1.797805047656788e-06,0.6202296139017945,1.98681896252331,1.4137086804084358,0.12395245754919086,0.20864701885909814,0.49785144893845934,1.7756384592046697,../Outputs/xgBoost_rolling_exports/paper_xgboost_region_11_calib_2013_predict_2014.pkl
11,2014,2014-12-31,2015,1975-01-01,2014-12-31,2015-01-01,2015-12-31,14600,365,1.5876000369487682,0.16280230145165417,-1.2410784205999396e-05,0.6189954767372852,1.9812907679320146,1.7162047024346174,0.15876410872416047,0.16697779590610237,0.48089805823511644,2.1303610284977084,../Outputs/xgBoost_rolling_exports/paper_xgboost_region_11_calib_2014_predict_2015.pkl
11,2015,2015-12-31,2016,1975-01-01,2015-12-31,2016-01-01,2016-12-31,14965,365,1.5899644846560508,0.1626694823481179,9.060454383152462e-06,0.6168249269955499,1.9842661196996811,1.5570933868356642,0.14108161683245493,0.18469044618617061,0.572943628676248,1.9239636533903892,../Outputs/xgBoost_rolling_exports/paper_xgboost_region_11_calib_2015_predict_2016.pkl
11,2016,2016-12-31,2017,1975-01-01,2016-12-31,2017-01-01,2017-12-31,15330,365,1.5894232615826338,0.1621852377549644,-6.452766983078386e-06,0.6164541845782785,1.9829280578649993,1.6771358797518539,0.14886402372378574,0.1994621280471975,0.5837196510944549,2.0608699133468344,../Outputs/xgBoost_rolling_exports/paper_xgboost_region_11_calib_2016_predict_2017.pkl
11,2017,2017-12-31,2018,1975-01-01,2017-12-31,2018-01-01,2018-12-31,15695,365,1.5914386885392275,0.16199553353360074,-2.3490720688254214e-07,0.6165734485791852,1.9843855003901947,1.57310932981998,0.14440838168069692,0.15959550452615323,0.6708704176164952,1.956601152918929,../Outputs/xgBoost_rolling_exports/paper_xgboost_region_11_calib_2017_predict_2018.pkl
11,2018,2018-12-31,2019,1975-01-01,2018-12-31,2019-01-01,2019-12-31,16060,365,1.5905201820173371,0.16159833920438355,3.89419946426923e-08,0.6185389805024062,1.9831986774964814,1.5108914743940585,0.13665049706833232,0.23190683703473625,0.5808180453067544,1.9076081960313556,../Outputs/xgBoost_rolling_exports/paper_xgboost_region_11_calib_2018_predict_2019.pkl
11,2019,2019-12-31,2020,1975-01-01,2019-12-31,2020-01-01,2020-12-31,16425,365,1.5880181337385766,0.16099049623635361,3.58305273081787e-05,0.6185809854272721,1.9813115945385664,1.653528936525558,0.14521382744120284,0.19280132952923268,0.5352052878296051,2.0798448457973624,../Outputs/xgBoost_rolling_exports/paper_xgboost_region_11_calib_2019_predict_2020.pkl
