region,year,mo_start,mo_end,yield_detrend,temp_index,strike,payoff,fair_premium,rev_without,rev_with_sd,rev_with_var,z_sd,z_var
24,2024,4,5,6.3,793.46,769.54,23.92,33.1277,1008.0,1003.63,1002.1,0.4753,0.6406
27,2000,4,4,7.2468,304.46,323.63,19.16,4.33,1159.5,1178.67,1159.5,1.2925,0.0
27,2001,4,4,6.1855,247.44,323.63,76.19,4.33,989.68,1082.56,989.68,1.2925,0.0
27,2002,4,4,7.0134,304.65,323.63,18.98,4.33,1122.15,1141.08,1122.15,1.2925,0.0
27,2003,4,4,5.0337,335.69,323.63,0.0,4.33,805.4,799.8,805.4,1.2925,0.0
27,2004,4,4,7.5526,305.47,323.63,18.15,4.33,1208.42,1226.28,1208.42,1.2925,0.0
27,2005,4,4,6.6066,324.36,323.63,0.0,4.33,1057.05,1051.45,1057.05,1.2925,0.0
27,2006,4,4,6.4165,301.5,323.63,22.13,4.33,1026.64,1049.65,1026.64,1.2925,0.0
27,2007,4,4,5.932,433.52,323.63,0.0,4.33,949.12,943.52,949.12,1.2925,0.0
27,2008,4,4,6.3574,279.75,323.63,43.88,4.33,1017.19,1068.3,1017.19,1.2925,0.0
27,2009,4,4,7.0689,366.49,323.63,0.0,4.33,1131.02,1125.43,1131.02,1.2925,0.0
27,2010,4,4,6.7647,337.66,323.63,0.0,4.33,1082.35,1076.75,1082.35,1.2925,0.0
27,2011,4,4,7.1672,394.13,323.63,0.0,4.33,1146.75,1141.15,1146.75,1.2925,0.0
27,2012,4,4,6.0697,292.71,323.63,30.92,4.33,971.15,1005.52,971.15,1.2925,0.0
27,2013,4,4,6.4722,310.6,323.63,13.03,4.33,1035.56,1046.8,1035.56,1.2925,0.0
27,2014,4,4,7.3748,352.4,323.63,0.0,4.33,1179.96,1174.36,1179.96,1.2925,0.0
27,2015,4,4,6.7773,336.65,323.63,0.0,4.33,1084.37,1078.77,1084.37,1.2925,0.0
27,2016,4,4,4.9798,281.48,323.63,42.15,4.33,796.77,845.65,796.77,1.2925,0.0
27,2017,4,4,8.0236,286.78,323.63,36.84,4.33,1283.78,1325.8,1283.78,1.2925,0.0
27,2018,4,4,6.4849,396.29,323.63,0.0,4.33,1037.58,1031.98,1037.58,1.2925,0.0
27,2019,4,4,7.8874,314.45,323.63,9.17,4.33,1261.98,1268.24,1261.98,1.2925,0.0
27,2020,4,4,8.3899,395.07,323.63,0.0,4.33,1342.38,1336.79,1342.38,1.2925,0.0
27,2021,4,4,6.0924,262.12,323.63,61.5,4.33,974.79,1048.68,974.79,1.2925,0.0
27,2022,4,4,6.695,307.25,323.63,16.38,4.33,1071.19,1086.76,1071.19,1.2925,0.0
27,2023,4,4,6.4975,292.51,323.63,31.11,4.33,1039.6,1074.21,1039.6,1.2925,0.0
27,2024,4,4,5.3,327.2,323.63,0.0,4.33,848.0,842.4,848.0,1.2925,0.0
28,2000,7,7,8.7982,507.85,558.45,50.6,10.0194,1407.71,1407.71,1505.2,0.0,2.4024
