year,wheat_yield,actual_index,strike,itm,premium,po_actual,rev_without,rev_with,z_star,rev_diff,region
2015,9.1,2863.632380952381,2744.429528236564,True,59.49321756978377,62.01255390647439,1456.0,1459.7642101171282,1.494127664618528,3.7642101171281865,11
2016,5.0,2679.8414880952378,2744.429528236564,False,63.5355525253709,0.0,800.0,705.0697732850198,1.494127664618528,-94.93022671498022,11
2017,8.2,2925.9988095238095,2744.429528236564,True,46.81731043083595,94.45725993175904,1312.0,1383.1801664903587,1.494127664618528,71.18016649035872,11
2018,7.7,3050.1233928571432,2744.429528236564,True,55.40269343038758,159.0302314648108,1232.0,1386.8327713935405,1.494127664618528,154.8327713935405,11
2019,8.8,2902.8558928571433,2744.429528236564,True,62.76763875266083,82.41768760066624,1408.0,1437.3596815949102,1.494127664618528,29.35968159491017,11
2020,7.8,2923.8991666666666,2744.429528236564,True,66.55823744579088,93.3649688254939,1248.0,1288.052678952412,1.494127664618528,40.05267895241195,11
2021,8.3,2593.411111111111,2744.429528236564,False,62.40414976036097,0.0,1328.0,1234.760233456047,1.494127664618528,-93.23976654395301,11
2022,8.6,3032.184027777778,2744.429528236564,True,79.21366871369693,149.6976876650058,1376.0,1481.312122628647,1.494127664618528,105.3121226286471,11
2023,8.399898566703417,2884.8,2744.429528236564,True,66.19610296160116,73.02452289342143,1343.9837706725466,1354.186301798312,1.494127664618528,10.20253112576529,11
2024,6.576977501781533,2869.4256944444446,2744.429528236564,True,94.23070513391947,65.0263925608242,1052.3164002850453,1008.6814289434169,1.494127664618528,-43.63497134162844,11
2015,7.6,1997.9162698412702,1866.2374490235445,True,84.74233092952858,100.16579401230963,1216.0,1234.6170357734625,1.2070593791770987,18.617035773462476,24
2016,3.6,1790.3942460317462,1866.2374490235445,False,49.48819620702854,0.0,576.0,516.2648086097497,1.2070593791770987,-59.73519139025029,24
2017,6.9,1968.0877182539682,1866.2374490235445,True,87.01768747848399,77.47573242590575,1104.0,1092.482293658099,1.2070593791770987,-11.517706341900976,24
2018,6.9,2135.6593253968254,1866.2374490235445,True,52.76605933460353,204.9445461588097,1104.0,1287.6884698301365,1.2070593791770987,183.68846983013646,24
2019,7.650000514694528,1969.874365079365,1866.2374490235445,True,96.85231659388074,78.83480366282969,1224.0000823511245,1202.2518743782546,1.2070593791770987,-21.748207972869977,24
2020,6.1,1989.2711309523809,1866.2374490235445,True,104.98757621545117,93.58958687607651,976.0,962.2419500641471,1.2070593791770987,-13.75804993585291,24
2021,7.3,1799.79,1866.2374490235445,False,103.32746152578122,0.0,1168.0,1043.2776184387449,1.2070593791770987,-124.72238156125513,24
2022,7.05,2093.175,1866.2374490235445,True,74.83543656733278,172.62745704741113,1128.0,1246.0407755291576,1.2070593791770987,118.0407755291576,24
2023,6.9,2022.645,1866.2374490235445,True,111.0747066140879,118.97650993369561,1104.0,1113.5379458093453,1.2070593791770987,9.537945809345274,24
2024,6.3,1945.5100000000002,1866.2374490235445,True,87.03180290217766,60.30125393459704,1008.0,975.7346401581291,1.2070593791770987,-32.26535984187092,24
2015,6.8,1725.8938293650795,1487.0746084195582,True,106.36520257560171,199.21794790533806,1088.0,1184.4641266021395,1.038893640242715,96.46412660213946,27
2016,5.0,1544.0325396825397,1487.0746084195582,True,116.23368729628557,47.51310274868085,800.0,728.6066217597318,1.038893640242715,-71.39337824026825,27
2017,8.04130808950086,1691.5919444444444,1487.0746084195582,True,105.90471788308982,170.60404029723634,1286.6092943201377,1353.8250089042076,1.038893640242715,67.21571458406993,27
2018,6.5,1766.1788888888889,1487.0746084195582,True,114.4129338127035,232.82289334399883,1040.0,1163.01535389846,1.038893640242715,123.01535389846003,27
2019,7.9,1670.639384920635,1487.0746084195582,True,123.87156906149932,153.125857866309,1264.0,1294.3920945891405,1.038893640242715,30.39209458914047,27
2020,8.4,1613.997619047619,1487.0746084195582,True,125.4235250066868,105.8764936054193,1344.0,1323.6927133915985,1.038893640242715,-20.307286608401455,27
