region,window,n_days_avg,option_type,index_type,strike_S,z_star,premium_per_ha_EUR,n_hist,spearman_rho,p_value_rho,SD_unhedged_per_ha,SD_hedged_per_ha,HE_pct,RMSL_pct_reduction,mean_rev_u_per_ha,mean_rev_h_per_ha,idx_mean,idx_std,MKW5_unhedged,MKW5_hedged,MKW5_change,MKW3_unhedged,MKW3_hedged,MKW3_change
11,May,31.0,call,cat,449.75278,1e-05,14.92148,25,-0.38308,0.05874,139.25956,139.25956,0.0,-1e-05,1273.48302,1273.48302,449.75278,39.16651,1060.30389,1060.30387,-0.0,,,
24,May,31.0,call,cat,442.23428,1e-05,14.84324,25,-0.29923,0.1462,135.20039,135.20039,-0.0,-1e-05,1074.15156,1074.15156,442.23428,38.25313,884.95117,884.95119,0.0,,,
27,May,30.55556,put,cat,446.20808,0.38818,21.66581,18,0.06708,0.79143,139.50274,138.53663,0.69254,0.5445,1081.70544,1082.12595,446.20808,57.90008,,,,871.89681,869.41678,-0.28444
28,May,31.0,call,cat,402.47581,1e-05,10.66798,25,-0.10923,0.60324,134.37856,134.37858,-1e-05,-0.0,1429.26098,1429.26098,402.47581,29.90867,1223.68722,1223.68722,0.0,,,
32,May,31.0,call,cat,410.89719,1e-05,16.61454,17,-0.16667,0.5226,151.42302,151.42302,0.0,-1e-05,1384.83719,1384.8372,410.89719,43.05972,,,,1127.26144,1127.26144,-0.0
44,May,31.0,call,cat,442.4349,1e-05,17.90892,25,-0.05077,0.80955,126.87916,126.87916,-0.0,-1e-05,918.24457,918.24458,442.4349,45.15965,726.85898,726.85895,-0.0,,,
52,May,31.0,call,cat,449.35312,2.6448,12.92516,25,-0.24,0.24786,117.34432,118.27614,-0.79409,3.72234,1010.59413,1012.30335,449.35312,33.25063,827.95673,834.93451,0.84277,,,
53,May,31.0,call,cat,411.63293,1.276,9.33112,25,-0.34692,0.08931,78.98771,78.53705,0.57054,1.00013,1170.29998,1170.89531,411.63293,26.04332,1059.37059,1059.90713,0.05065,,,
