region,best_window,best_type,rho,p_raw,p_holm_sig,n_tests,option_type
11,May,hdd,0.4053846153846154,0.0443877584152009,False,74,put
24,AprMay,cat,-0.34076923076923077,0.09552706065583513,False,74,call
27,AprMayJunJul,cdd,0.5524475524475525,0.06251148327961512,False,74,put
28,Jan,cat,-0.2530769230769231,0.2222401375819646,False,69,call
32,MarAprMayJunJul,cdd,0.3076923076923077,0.3305892594121097,False,69,put
44,Mar,cat,-0.22999999999999998,0.26871146237433485,False,74,call
52,AprMay,cat,-0.3707692307692308,0.06806219266456498,False,74,call
53,May,cat,-0.3469230769230769,0.08931140864220484,False,69,call
