region,eval_year,n_calib,window,option_type,index_type,spearman_rho,p_holm_sig,S,z_star,premium_EUR_ha,idx_mean,idx_std,actual_index,index_vs_S,payoff_EUR_ha,in_money,rev_unhedged,rev_hedged,net_benefit,better_off,xgb_forecast,xgb_dev_sigma,perfect_hedge,rev_hedged_perfect,net_benefit_perfect,better_off_perfect,xgb_hedge_t00,rev_hedged_xgb_t00,net_benefit_xgb_t00,better_off_xgb_t00,xgb_hedge_t05,rev_hedged_xgb_t05,net_benefit_xgb_t05,better_off_xgb_t05,xgb_hedge_t10,rev_hedged_xgb_t10,net_benefit_xgb_t10,better_off_xgb_t10,z_var,rev_hedged_xgb_var,net_benefit_xgb_var,better_off_xgb_var
27,2017,17,FebMarApr,put,cat,0.6,False,630.65,0.0,28.37,630.65,87.16,763.37,132.72,0.0,False,1289.78,1289.78,-0.0,False,648.86,0.209,False,1289.78,0.0,False,False,1289.78,0.0,False,False,1289.78,0.0,False,False,1289.78,0.0,False,0.0,1289.78,-0.0,False
28,2017,17,MayJunJul,call,cat,-0.3603,False,1424.41,0.0063,15.64,1424.41,46.24,1543.07,118.66,118.66,True,1509.88,1510.53,0.64,True,1409.33,-0.326,True,1510.53,0.64,True,False,1509.88,0.0,False,False,1509.88,0.0,False,False,1509.88,0.0,False,0.002,1510.09,0.21,True
32,2017,17,MayJun,call,cat,-0.5714,False,874.7,0.0,18.73,874.7,51.59,1008.2,133.51,133.51,True,1407.31,1407.32,0.0,True,901.98,0.529,True,1407.32,0.0,True,True,1407.32,0.0,True,True,1407.32,0.0,True,False,1407.31,0.0,False,0.0,1407.32,0.0,True
44,2017,17,Mar,call,cat,-0.4853,False,207.75,2.6802,16.59,207.75,42.87,282.4,74.65,74.65,True,1014.42,1170.02,155.6,True,222.1,0.335,True,1170.02,155.6,True,True,1170.02,155.6,True,False,1014.42,0.0,False,False,1014.42,0.0,False,0.8974,1066.52,52.1,True
52,2017,17,FebMarAprMayJunJul,call,cat,-0.3897,False,2353.88,0.7144,35.27,2353.88,98.99,2557.72,203.84,203.84,True,1132.63,1253.06,120.42,True,2388.33,0.348,True,1253.06,120.42,True,True,1253.06,120.42,True,False,1132.63,0.0,False,False,1132.63,0.0,False,0.2486,1174.54,41.91,True
53,2017,17,May,call,cat,-0.3946,False,406.89,1.2838,6.77,406.89,22.21,446.85,39.96,39.96,True,1228.3,1270.92,42.62,True,416.77,0.445,True,1270.92,42.62,True,True,1270.92,42.62,True,False,1228.3,0.0,False,False,1228.3,0.0,False,0.5709,1247.25,18.95,True
11,2018,18,May,call,cat,-0.4138,False,449.39,0.0,14.29,449.39,37.56,501.12,51.74,51.74,True,1232.67,1232.67,0.0,True,459.79,0.277,True,1232.67,0.0,True,True,1232.67,0.0,True,False,1232.67,0.0,False,False,1232.67,0.0,False,0.0,1232.67,0.0,True
24,2018,18,MayJun,call,cat,-0.3106,False,980.91,0.9028,19.87,980.91,56.24,1055.26,74.35,74.35,True,1108.98,1158.16,49.18,True,981.38,0.008,True,1158.16,49.18,True,True,1158.16,49.18,True,False,1108.98,0.0,False,False,1108.98,0.0,False,0.0077,1109.39,0.42,True
27,2018,18,FebMarApr,put,cat,0.7143,False,649.61,0.9752,34.75,649.61,94.06,632.38,-17.23,17.23,True,1038.54,1021.45,-17.09,False,656.09,0.069,False,1038.54,0.0,False,False,1038.54,0.0,False,False,1038.54,0.0,False,False,1038.54,0.0,False,0.0672,1037.36,-1.18,False
28,2018,18,Jan,call,cat,-0.3416,False,164.2,2.1498,18.39,164.2,49.71,226.09,61.89,61.89,True,1363.75,1457.26,93.51,True,192.15,0.562,True,1457.26,93.51,True,True,1457.26,93.51,True,True,1457.26,93.51,True,False,1363.75,0.0,False,1.2089,1416.33,52.58,True
32,2018,18,FebMarAprMay,call,cat,-0.6,False,1024.01,0.0,52.19,1024.01,159.51,1063.03,39.02,39.02,True,1342.53,1342.53,-0.0,False,1092.9,0.432,False,1342.53,0.0,False,True,1342.53,-0.0,False,False,1342.53,0.0,False,False,1342.53,0.0,False,0.0,1342.53,-0.0,False
44,2018,18,Mar,call,cat,-0.3086,False,211.89,2.4746,17.5,211.89,45.16,170.54,-41.35,0.0,False,1020.57,977.26,-43.31,False,222.57,0.236,False,1020.57,0.0,False,True,977.26,-43.31,False,False,1020.57,0.0,False,False,1020.57,0.0,False,0.5848,1010.34,-10.24,False
52,2018,18,FebMarAprMayJunJul,call,cat,-0.3333,False,2365.2,0.4938,38.76,2365.2,107.38,2479.21,114.0,114.0,True,908.06,945.22,37.15,True,2434.81,0.648,True,945.22,37.15,True,True,945.22,37.15,True,True,945.22,37.15,True,False,908.06,0.0,False,0.3201,932.15,24.08,True
53,2018,18,May,call,cat,-0.3106,False,409.11,0.0,7.51,409.11,23.52,428.65,19.54,19.54,True,1097.64,1097.64,0.0,True,423.25,0.601,True,1097.64,0.0,True,True,1097.64,0.0,True,True,1097.64,0.0,True,False,1097.64,0.0,False,0.0,1097.64,0.0,True
11,2019,19,May,call,cat,-0.4298,False,452.11,0.0,14.76,452.11,38.39,403.78,-48.33,0.0,False,1409.1,1409.1,-0.0,False,463.14,0.287,False,1409.1,0.0,False,True,1409.1,-0.0,False,False,1409.1,0.0,False,False,1409.1,0.0,False,0.0,1409.1,-0.0,False
24,2019,19,MayJun,call,cat,-0.3,False,984.82,0.6896,20.39,984.82,57.25,973.31,-11.51,0.0,False,1227.98,1213.92,-14.06,False,1012.36,0.481,False,1227.98,0.0,False,True,1213.92,-14.06,False,False,1227.98,0.0,False,False,1227.98,0.0,False,0.3318,1221.22,-6.77,False
27,2019,19,FebMarApr,put,cat,0.7381,False,647.46,0.9517,31.07,647.46,87.29,746.52,99.06,0.0,False,1263.15,1233.57,-29.57,False,665.1,0.202,False,1263.15,0.0,False,False,1263.15,0.0,False,False,1263.15,0.0,False,False,1263.15,0.0,False,0.1923,1257.17,-5.98,False
28,2019,19,Jan,call,cat,-0.4053,False,167.46,1.6637,18.75,167.46,50.35,152.56,-14.89,0.0,False,1556.69,1525.5,-31.19,False,190.88,0.465,False,1556.69,0.0,False,True,1525.5,-31.19,False,False,1556.69,0.0,False,False,1556.69,0.0,False,0.7738,1542.18,-14.5,False
32,2019,19,JanFebMarAprMayJunJul,call,cat,-0.6,False,2227.99,0.0,69.12,2227.99,202.93,2383.57,155.58,155.58,True,1519.0,1519.0,0.0,True,2304.6,0.378,True,1519.0,0.0,True,True,1519.0,0.0,True,False,1519.0,0.0,False,False,1519.0,0.0,False,0.0,1519.0,0.0,True
44,2019,19,AprMayJunJul,put,cat,0.3842,False,1910.7,1.7577,36.04,1910.7,96.5,1925.11,14.41,0.0,False,1106.8,1043.45,-63.35,False,1966.83,0.582,False,1106.8,0.0,False,False,1106.8,0.0,False,False,1106.8,0.0,False,False,1106.8,0.0,False,1.0223,1069.96,-36.84,False
52,2019,19,FebMarAprMayJunJul,call,cat,-0.4298,False,2371.2,0.8073,39.73,2371.2,107.58,2487.01,115.8,115.8,True,1189.65,1251.07,61.41,True,2442.59,0.664,True,1251.07,61.41,True,True,1251.07,61.41,True,True,1251.07,61.41,True,False,1189.65,0.0,False,0.5357,1230.41,40.75,True
53,2019,19,May,call,cat,-0.3404,False,410.14,0.0,7.63,410.14,23.29,389.93,-20.21,0.0,False,1255.97,1255.97,-0.0,False,424.92,0.635,False,1255.97,0.0,False,True,1255.97,-0.0,False,True,1255.97,-0.0,False,False,1255.97,0.0,False,0.0,1255.97,-0.0,False
11,2020,20,May,call,cat,-0.4737,False,449.69,0.0,15.17,449.69,38.89,452.31,2.61,2.61,True,1246.88,1246.88,-0.0,False,459.52,0.253,False,1246.88,0.0,False,True,1246.88,-0.0,False,False,1246.88,0.0,False,False,1246.88,0.0,False,0.0,1246.88,-0.0,False
24,2020,20,MayJun,call,cat,-0.3278,False,984.24,0.6596,19.67,984.24,55.79,959.16,-25.09,0.0,False,977.49,964.51,-12.98,False,1010.06,0.463,False,977.49,0.0,False,True,964.51,-12.98,False,False,977.49,0.0,False,False,977.49,0.0,False,0.3052,971.49,-6.0,False
27,2020,20,FebMarAprMayJunJul,put,cat,0.9,False,2359.22,1.4838,39.7,2359.22,120.14,2460.04,100.81,0.0,False,1340.4,1281.5,-58.9,False,2279.83,-0.661,False,1340.4,0.0,False,True,1281.5,-58.9,False,True,1281.5,-58.9,False,False,1340.4,0.0,False,0.9805,1301.48,-38.92,False
28,2020,20,Jan,call,cat,-0.4015,False,166.71,1.965,18.18,166.71,49.12,206.08,39.37,39.37,True,1330.79,1372.42,41.63,True,188.81,0.45,True,1372.42,41.63,True,True,1372.42,41.63,True,False,1330.79,0.0,False,False,1330.79,0.0,False,0.884,1349.51,18.73,True
32,2020,20,JanFebMarAprMayJunJul,call,cat,-0.4286,False,2253.92,0.0,69.95,2253.92,192.3,2441.55,187.63,187.63,True,1452.84,1452.84,0.0,True,2299.31,0.236,True,1452.84,0.0,True,True,1452.84,0.0,True,False,1452.84,0.0,False,False,1452.84,0.0,False,0.0,1452.84,0.0,True
44,2020,20,MayJunJul,put,cat,0.3248,False,1596.79,2.6907,27.55,1596.79,76.43,1531.83,-64.96,64.96,True,1135.98,1236.63,100.65,True,1640.34,0.57,True,1236.63,100.65,True,False,1135.98,0.0,False,False,1135.98,0.0,False,False,1135.98,0.0,False,1.5332,1193.33,57.35,True
52,2020,20,AprMay,call,cat,-0.409,False,783.24,1.3164,19.47,783.24,56.18,881.99,98.75,98.75,True,781.61,885.97,104.36,True,781.59,-0.029,True,885.97,104.36,True,False,781.61,0.0,False,False,781.61,0.0,False,False,781.61,0.0,False,0.0387,784.68,3.07,True
53,2020,20,May,call,cat,-0.3865,False,409.13,0.4997,7.68,409.13,23.12,441.2,32.07,32.07,True,1079.8,1091.98,12.19,True,416.28,0.309,True,1091.98,12.19,True,True,1091.98,12.19,True,False,1079.8,0.0,False,False,1079.8,0.0,False,0.1546,1083.57,3.77,True
11,2021,21,May,call,cat,-0.4714,False,449.82,0.0,14.51,449.82,37.91,377.32,-72.5,0.0,False,1327.33,1327.33,-0.0,False,462.99,0.347,False,1327.33,0.0,False,True,1327.33,-0.0,False,False,1327.33,0.0,False,False,1327.33,0.0,False,0.0,1327.33,-0.0,False
