region,window,n_days_avg,option_type,index_type,strike_S,z_star,premium_per_ha_EUR,n_hist,spearman_rho,p_value_rho,SD_unhedged_per_ha,SD_hedged_per_ha,HE_pct,RMSL_pct_reduction,mean_rev_u_per_ha,mean_rev_h_per_ha,ES_20pct_unhedged,ES_20pct_hedged,ES_20pct_change
11,MarAprMay,92.0,call,mixed_a5,0.0,3.24341,19.08824,25,-0.51154,0.00896,139.25956,121.67611,12.62639,12.1091,1273.48302,1276.57857,1060.30389,1074.2971,1.31974
24,MarAprMay,92.0,call,mixed_a4,0.0,0.45884,18.2086,25,-0.57231,0.00279,135.20039,132.22952,2.19738,0.68266,1074.15156,1074.56929,884.95117,889.83332,0.55169
27,MarAprMayJun,121.33333,call,mixed_a2,0.0,1.09617,33.85104,12,-0.76224,0.00395,163.34993,140.46757,14.00819,11.84821,1078.98728,1080.84262,825.87257,882.33329,6.83649
28,FebMarAprMayJunJul,181.0,call,mixed_a2,0.0,1.34183,36.15724,25,-0.71462,6e-05,134.37856,114.06476,15.11685,13.88173,1429.26098,1431.68683,1223.68722,1266.45493,3.49499
32,JanFebMarAprMayJun,181.0,call,mixed_a2,0.0,1.85586,53.53708,11,-0.77273,0.0053,178.54869,63.09002,64.66509,73.58288,1387.27882,1392.2467,1078.57727,1305.82511,21.06922
44,MayJunJul,92.0,call,mixed_a3,-0.0,3.25852,16.59736,25,-0.64692,0.00047,126.87916,123.85821,2.38096,14.36961,918.24457,920.94871,726.85898,751.22835,3.3527
52,JunJul,61.0,call,mixed_a2,0.0,1.11931,17.85376,25,-0.54538,0.00481,117.34432,110.2566,6.04011,5.32248,1010.59413,1011.59332,827.95673,845.0505,2.06457
53,MarAprMayJun,122.0,call,mixed_a2,-0.0,1.49796,23.52415,25,-0.47462,0.01652,78.98771,60.37275,23.56691,30.92634,1170.29998,1172.06189,1059.37059,1088.91266,2.78864
