region,eval_year,n_calib,window,option_type,index_type,spearman_rho,S,z_star,premium_EUR_ha,actual_index,index_vs_S,payoff_EUR_ha,in_money,rev_unhedged,rev_hedged,net_benefit,better_off,xgb_forecast,xgb_forecast_payoff,xgb_expected_net,xgb_hedge,xgb_forecast_vs_S,rev_hedged_xgb,net_benefit_xgb,better_off_xgb,perfect_hedge,rev_hedged_perfect,net_benefit_perfect,better_off_perfect,mv_oracle_hedge,rev_hedged_mv,net_benefit_mv,better_off_mv
53,2017,17,May,call,cat,-0.4632,406.89,2.5946,6.77,446.85,39.96,39.96,True,1252.07,1338.21,86.13,True,416.77,9.88,3.11,True,9.88,1338.21,86.13,True,True,1338.21,86.13,True,True,1338.21,86.14,True
11,2018,18,MayJun,call,mixed_a6,-0.7069,-0.0,4.7378,11.29,84.06,84.06,84.06,True,1233.41,1578.14,344.73,True,13.32,13.32,2.03,True,13.32,1578.14,344.73,True,True,1578.14,344.73,True,True,1578.14,344.73,True
24,2018,18,Mar,call,mixed_a3,-0.5439,0.0,0.1296,9.24,25.19,25.19,25.19,True,1094.99,1097.06,2.07,True,10.05,10.05,0.81,True,10.05,1097.06,2.07,True,True,1097.06,2.07,True,True,1097.06,2.07,True
27,2018,18,MarAprMay,call,hdd,-0.9429,686.79,2.8093,19.47,581.47,-105.31,0.0,False,1042.81,988.11,-54.7,False,667.93,0.0,-19.47,False,-18.85,1042.81,0.0,False,False,1042.81,0.0,False,False,1042.81,0.0,False
28,2018,18,MarAprMayJunJul,call,prec_mm,-0.6821,277.8,1.2965,21.85,305.07,27.27,27.27,True,1421.22,1428.24,7.02,True,373.88,96.08,74.23,True,96.08,1428.24,7.02,True,True,1428.24,7.02,True,True,1428.24,7.02,True
32,2018,18,FebMarAprMay,call,mixed_a2,-0.8,0.0,3.198,55.84,31.37,31.37,31.37,True,1353.86,1275.61,-78.26,False,79.36,79.36,23.52,True,79.36,1275.61,-78.26,False,False,1353.86,0.0,False,False,1353.86,0.0,False
44,2018,18,MayJun,call,mixed_a3,-0.5707,-0.0,3.4164,12.61,42.25,42.25,42.25,True,928.23,1029.48,101.25,True,44.34,44.34,31.73,True,44.34,1029.48,101.25,True,True,1029.48,101.25,True,True,1029.48,101.25,True
52,2018,18,JunJul,call,mixed_a2,-0.515,-0.0,1.8859,18.97,277.57,277.57,277.57,True,892.04,1379.73,487.69,True,25.86,25.86,6.89,True,25.86,1379.73,487.69,True,True,1379.73,487.69,True,True,1379.73,487.69,True
53,2018,18,MarApr,call,mixed_a3,-0.3849,-0.0,0.3754,10.56,12.4,12.4,12.4,True,1119.76,1120.45,0.69,True,24.26,24.26,13.7,True,24.26,1120.45,0.69,True,True,1120.45,0.69,True,True,1120.45,0.69,True
11,2019,19,MayJun,call,mixed_a6,-0.6895,-0.0,1.2313,12.48,8.28,8.28,8.28,True,1409.18,1404.0,-5.17,False,22.44,22.44,9.96,True,22.44,1404.0,-5.17,False,False,1409.18,0.0,False,False,1409.18,0.0,False
