model,region,oos_year,instrument,act_revenue,act_cCDD,K,N_sv,V_sv,act_payoff,hedged_revenue,revenue_change
HBA,44,2022,put,1008.0,1245.06,974.3,0.00623,79.0378,0.0,1007.5,-0.5
HBA,44,2023,put,1008.0,1126.7,979.4,0.00604,63.2753,0.0,1007.62,-0.38
HBA,44,2024,put,832.0,1109.1,982.1,0.01353,59.7099,0.0,831.19,-0.81
HBA,52,2015,call,1152.0,456.61,415.4,0.03834,1430.8453,824.2,1128.47,-23.53
HBA,52,2016,call,992.0,358.21,416.3,0.03754,1627.2685,0.0,930.61,-61.39
HBA,52,2017,call,1136.0,534.04,415.1,0.02897,1228.6294,2378.8,1169.14,33.14
HBA,52,2018,call,912.0,264.24,178.0,0.05576,653.5573,1724.8,971.58,59.58
HBA,52,2019,call,1190.4,428.52,420.3,0.03119,1492.441,164.4,1148.75,-41.65
HBA,52,2020,call,784.0,498.41,420.5,0.03427,1274.8425,1558.2,793.49,9.49
HBA,52,2021,call,1072.0,131.77,181.6,0.08191,930.9536,0.0,995.43,-76.57
HBA,52,2022,call,1068.8,277.52,180.6,0.08221,604.1583,1938.4,1178.28,109.48
HBA,52,2023,call,1088.0,222.82,182.5,0.0725,768.0904,806.4,1090.55,2.55
HBA,52,2024,call,768.0,207.96,183.2,0.07468,771.3797,495.2,747.14,-20.86
HBA,53,2015,call,1264.0,153.92,142.6,0.05775,583.8616,226.4,1243.22,-20.78
HBA,53,2016,call,1088.0,106.84,99.1,0.04334,289.5089,154.8,1082.11,-5.89
HBA,53,2017,call,1233.59,136.85,99.3,0.06484,253.1411,751.0,1265.8,32.21
HBA,53,2018,call,1103.91,120.77,100.1,0.01819,286.1672,413.4,1106.2,2.29
HBA,53,2019,call,1260.8,84.44,100.5,0.03787,326.9768,0.0,1248.37,-12.43
HBA,53,2020,call,1085.75,141.58,100.2,0.04299,264.6172,827.6,1109.91,24.16
HBA,53,2021,call,1189.21,54.78,101.0,0.06391,371.0119,0.0,1165.4,-23.81
HBA,53,2022,call,1193.44,136.19,100.1,0.05969,225.9635,721.8,1222.98,29.54
HBA,53,2023,call,1148.8,125.69,100.8,0.05894,290.0852,497.8,1160.97,12.17
HBA,53,2024,call,1043.68,122.11,101.2,0.05734,259.9815,418.2,1052.69,9.01
Alaton,11,2015,call,1456.0,446.56,409.3,0.05222,1552.9925,745.2,1413.41,-42.59
Alaton,11,2016,call,800.0,354.65,410.1,0.05211,1771.8407,0.0,707.21,-92.79
Alaton,11,2017,call,1312.0,468.58,347.3,0.05166,796.281,2425.6,1395.97,83.97
Alaton,11,2018,call,1232.0,580.07,411.5,0.01668,1375.2583,3371.4,1265.18,33.18
Alaton,11,2019,call,1408.0,459.04,415.0,0.00866,1685.5344,880.8,1400.96,-7.04
Alaton,11,2020,call,1248.0,288.82,195.8,0.01236,925.8484,1860.4,1259.5,11.5
Alaton,11,2021,call,1328.0,110.89,197.6,0.01839,1291.7991,0.0,1304.15,-23.85
Alaton,11,2022,call,1376.0,274.67,195.9,0.02233,1005.2587,1575.4,1388.64,12.64
Alaton,11,2023,call,1343.98,204.18,197.4,0.0127,1187.8107,135.6,1330.56,-13.43
Alaton,11,2024,call,1052.32,249.74,197.5,0.01659,1124.2896,1044.8,1050.92,-1.4
Alaton,24,2015,call,1216.0,803.34,694.5,0.04296,1929.3006,2176.8,1226.15,10.15
Alaton,24,2016,call,576.0,627.85,696.8,0.0396,2381.1831,0.0,481.16,-94.84
Alaton,24,2017,call,1104.0,444.36,341.5,0.01655,862.5637,2057.2,1123.7,19.7
Alaton,24,2018,call,1104.0,279.59,182.4,-0.00082,879.9233,1943.8,1103.13,-0.87
Alaton,24,2019,call,1224.0,151.65,184.4,-0.00444,1081.3517,0.0,1228.82,4.82
Alaton,24,2020,call,976.0,284.4,183.7,-0.00014,950.4058,2014.0,975.85,-0.15
Alaton,24,2021,call,1168.0,115.78,185.7,0.00654,1294.9394,0.0,1159.5,-8.5
Alaton,24,2022,call,1128.0,282.26,184.3,0.00804,973.1625,1959.2,1135.9,7.9
Alaton,24,2023,call,1104.0,214.72,186.2,0.00746,1178.4642,570.4,1099.43,-4.57
Alaton,24,2024,call,1008.0,237.81,186.7,0.00342,1151.6454,1022.2,1007.54,-0.46
Alaton,27,2015,call,1088.0,806.22,539.2,0.04533,5582.8842,5340.4,1075.53,-12.47
Alaton,27,2016,call,800.0,630.8,545.4,0.03863,5671.0742,1708.0,645.63,-154.37
Alaton,27,2017,call,1286.61,775.38,547.3,0.02971,4912.8951,4561.6,1275.32,-11.29
Alaton,27,2018,call,1040.0,751.13,498.2,0.03213,3675.7643,5058.6,1083.64,43.64
Alaton,27,2019,call,1264.0,711.41,503.7,0.02884,3671.2758,4154.2,1277.22,13.22
Alaton,27,2020,call,1344.0,257.25,148.9,0.01437,1000.6556,2167.0,1360.7,16.7
Alaton,27,2021,call,976.0,531.65,511.8,0.02651,3701.8058,397.0,887.73,-88.27
Alaton,27,2022,call,1072.0,672.79,456.1,0.01719,2691.2909,4333.8,1099.97,27.97
