region,horizon,model,method,n_paths,mu_C,sigma_C,strike_ATM,price,payoff_mean,payoff_std,payoff_skew,payoff_kurt,var5
28,90day,Benth,block_bootstrap_unified,10000,16.24,10.45,16.71,78.37,78.57,140.53,2.354,6.522,0.0
28,90day,XGB,block_bootstrap_unified,10000,18.92,11.4,16.71,111.46,111.73,168.78,1.906,3.931,0.0
28,90day,WaveletFNN,block_bootstrap_unified,10000,20.7,12.72,16.71,139.66,140.01,199.68,1.762,3.131,0.0
28,90day,LSTM,block_bootstrap_unified,10000,16.36,9.42,16.71,71.97,72.15,123.69,2.138,4.892,0.0
28,90day,FeedForwardNN,block_bootstrap_unified,10000,17.0,10.34,16.71,83.53,83.74,143.93,2.275,5.91,0.0
28,mid90day,HBA,block_bootstrap_unified,10000,599.11,53.5,636.9,151.16,152.09,371.77,3.107,11.011,0.0
28,mid90day,Alaton,block_bootstrap_unified,10000,599.54,54.35,636.9,158.44,159.42,384.27,3.039,10.228,0.0
28,mid90day,Benth,block_bootstrap_unified,10000,598.15,55.49,636.9,158.39,159.37,383.12,3.055,10.69,0.0
28,mid90day,XGB,block_bootstrap_unified,10000,596.3,53.49,636.9,135.87,136.71,352.05,3.248,11.762,0.0
28,mid90day,WaveletFNN,block_bootstrap_unified,10000,601.34,57.01,636.9,184.6,185.75,427.02,2.852,8.858,0.0
28,mid90day,LSTM,block_bootstrap_unified,10000,639.03,41.69,636.9,351.93,354.1,502.61,1.556,2.104,0.0
28,mid90day,FeedForwardNN,block_bootstrap_unified,10000,636.42,48.43,636.9,379.27,381.62,557.47,1.621,2.353,0.0
32,90day,HBA,block_bootstrap_unified,10000,20.02,12.68,13.66,168.55,168.96,212.66,1.51,2.336,0.0
32,90day,Alaton,block_bootstrap_unified,10000,80.34,39.72,13.66,1332.56,1335.85,790.52,0.597,0.289,169.53
32,90day,Benth,block_bootstrap_unified,10000,14.29,10.26,13.66,86.25,86.46,147.5,2.234,5.805,0.0
32,90day,XGB,block_bootstrap_unified,10000,17.21,11.67,13.66,126.13,126.44,185.13,1.9,4.211,0.0
32,90day,WaveletFNN,block_bootstrap_unified,10000,14.39,10.73,13.66,90.7,90.92,155.63,2.235,5.583,0.0
32,90day,LSTM,block_bootstrap_unified,10000,15.07,9.88,13.66,91.06,91.29,144.89,2.02,4.451,0.0
32,90day,FeedForwardNN,block_bootstrap_unified,10000,16.98,11.23,13.66,120.17,120.47,177.33,1.938,4.474,0.0
32,mid90day,HBA,block_bootstrap_unified,10000,676.52,60.84,673.21,515.41,518.6,739.37,1.581,2.171,0.0
32,mid90day,Alaton,block_bootstrap_unified,10000,389.26,87.56,673.21,0.39,0.4,19.58,65.844,4973.434,0.0
32,mid90day,Benth,block_bootstrap_unified,10000,682.85,61.64,673.21,592.44,596.1,782.8,1.384,1.399,0.0
32,mid90day,XGB,block_bootstrap_unified,10000,672.54,59.49,673.21,465.82,468.7,693.88,1.638,2.293,0.0
32,mid90day,WaveletFNN,block_bootstrap_unified,10000,686.77,68.85,673.21,690.14,694.41,902.7,1.358,1.355,0.0
32,mid90day,LSTM,block_bootstrap_unified,10000,681.05,53.0,673.21,502.28,505.38,670.29,1.448,1.77,0.0
32,mid90day,FeedForwardNN,block_bootstrap_unified,10000,698.07,58.37,673.21,748.03,752.66,851.82,1.128,0.728,0.0
44,90day,HBA,block_bootstrap_unified,10000,19.64,14.28,13.3,177.7,178.14,239.19,1.661,2.933,0.0
44,90day,Alaton,block_bootstrap_unified,10000,12.73,10.35,13.3,77.46,77.65,142.92,2.281,5.576,0.0
44,90day,Benth,block_bootstrap_unified,10000,12.81,10.2,13.3,76.08,76.26,141.97,2.351,5.927,0.0
44,90day,XGB,block_bootstrap_unified,10000,16.49,12.53,13.3,128.6,128.91,196.63,1.903,3.9,0.0
44,90day,WaveletFNN,block_bootstrap_unified,10000,17.59,13.51,13.3,146.37,146.74,219.39,1.945,4.292,0.0
44,90day,LSTM,block_bootstrap_unified,10000,12.67,9.2,13.3,66.76,66.92,125.61,2.523,7.502,0.0
44,90day,FeedForwardNN,block_bootstrap_unified,10000,13.03,9.7,13.3,73.9,74.08,134.89,2.381,6.356,0.0
44,mid90day,HBA,block_bootstrap_unified,10000,818.7,68.7,806.59,672.01,676.17,890.28,1.394,1.452,0.0
44,mid90day,Alaton,block_bootstrap_unified,10000,825.78,69.45,806.59,760.23,764.93,941.8,1.256,1.05,0.0
44,mid90day,Benth,block_bootstrap_unified,10000,824.54,68.8,806.59,744.83,749.43,922.44,1.26,1.065,0.0
44,mid90day,XGB,block_bootstrap_unified,10000,815.96,68.13,806.59,640.16,644.12,861.32,1.425,1.561,0.0
44,mid90day,WaveletFNN,block_bootstrap_unified,10000,817.22,72.03,806.59,684.19,688.42,927.0,1.479,1.908,0.0
44,mid90day,LSTM,block_bootstrap_unified,10000,812.22,52.19,806.59,471.56,474.47,653.04,1.52,1.949,0.0
44,mid90day,FeedForwardNN,block_bootstrap_unified,10000,808.33,54.37,806.59,447.63,450.39,655.67,1.649,2.428,0.0
52,90day,HBA,block_bootstrap_unified,10000,43.27,19.76,33.35,269.78,270.45,316.37,1.265,1.254,0.0
52,90day,Alaton,block_bootstrap_unified,10000,31.97,16.25,33.35,117.91,118.2,202.06,2.094,4.652,0.0
52,90day,Benth,block_bootstrap_unified,10000,32.01,16.34,33.35,118.75,119.04,204.6,2.144,4.881,0.0
52,90day,XGB,block_bootstrap_unified,10000,39.71,18.59,33.35,214.34,214.87,283.74,1.564,2.457,0.0
52,90day,WaveletFNN,block_bootstrap_unified,10000,46.88,22.75,33.35,337.21,338.04,379.38,1.274,1.539,0.0
52,90day,LSTM,block_bootstrap_unified,10000,40.06,17.37,33.35,210.75,211.27,266.8,1.409,1.644,0.0
52,90day,FeedForwardNN,block_bootstrap_unified,10000,30.57,14.88,33.35,95.49,95.72,176.24,2.317,5.869,0.0
52,mid90day,HBA,block_bootstrap_unified,10000,792.59,61.25,797.91,436.63,439.33,678.7,1.751,2.819,0.0
52,mid90day,Alaton,block_bootstrap_unified,10000,794.09,60.57,797.91,445.37,448.13,682.4,1.692,2.462,0.0
52,mid90day,Benth,block_bootstrap_unified,10000,791.86,61.36,797.91,429.37,432.03,678.19,1.777,2.84,0.0
52,mid90day,XGB,block_bootstrap_unified,10000,790.97,60.23,797.91,413.96,416.52,656.16,1.8,3.03,0.0
52,mid90day,WaveletFNN,block_bootstrap_unified,10000,804.06,70.92,797.91,626.57,630.45,868.23,1.488,1.795,0.0
52,mid90day,LSTM,block_bootstrap_unified,10000,794.76,53.98,797.91,396.39,398.85,603.64,1.719,2.698,0.0
52,mid90day,FeedForwardNN,block_bootstrap_unified,10000,818.75,55.22,797.91,677.58,681.77,772.73,1.078,0.485,0.0
53,90day,HBA,block_bootstrap_unified,10000,28.46,14.16,26.26,133.64,133.97,201.37,1.875,3.835,0.0
53,90day,Alaton,block_bootstrap_unified,10000,21.19,12.08,26.26,58.27,58.41,129.84,2.992,10.783,0.0
53,90day,Benth,block_bootstrap_unified,10000,21.2,11.93,26.26,57.6,57.75,126.76,2.893,10.006,0.0
53,90day,XGB,block_bootstrap_unified,10000,25.51,13.24,26.26,98.33,98.57,171.34,2.212,5.45,0.0
