region,window,n,rho_precip,pval_precip,rho_cdd,pval_cdd,partial_rho_precip_given_cdd,pval_partial,r2_temp_only,r2_temp_plus_precip,incremental_r2,mean_precip_mm,std_precip_mm
32,Jun,19,-0.2088,0.391,0.2211,0.3631,-0.3789,0.1096,0.0967,0.3533,0.2566,57.8616,32.5703
32,Jul,18,-0.0733,0.7726,0.0774,0.7602,-0.1373,0.5871,0.0011,0.0017,0.0006,56.042,28.896
32,FebMar,15,-0.0357,0.8994,,,-0.0357,0.8994,-0.0,0.0402,0.0402,109.829,40.1242
32,AprMay,17,-0.5588,0.0197,-0.2233,0.3889,-0.5245,0.0307,0.0,0.3508,0.3507,98.5765,33.9854
32,MayJun,15,-0.4929,0.062,0.2964,0.2834,-0.6214,0.0134,0.1169,0.6059,0.489,114.7223,48.3538
32,MayJunJul,12,-0.4965,0.1006,0.3077,0.3306,-0.4685,0.1245,0.1455,0.4326,0.2871,160.0867,58.152
32,AprMayJun,15,-0.6357,0.0109,0.2786,0.3147,-0.7,0.0037,0.1152,0.7031,0.588,155.2215,53.0133
32,JanFebMarApr,14,-0.4505,0.1059,-0.2408,0.4069,-0.3363,0.2398,0.0045,0.2749,0.2704,216.1967,57.902
44,Jan,25,-0.1308,0.5332,,,-0.1308,0.5332,0.0,0.0025,0.0025,55.6502,28.9273
44,Feb,25,-0.0646,0.759,,,-0.0646,0.759,0.0,0.0003,0.0003,46.4418,23.3473
44,Mar,25,0.2492,0.2296,,,0.2492,0.2296,0.0,0.0316,0.0316,52.3331,29.3985
44,Apr,25,-0.0569,0.787,-0.1778,0.3952,-0.0838,0.6903,0.0005,0.0457,0.0452,46.5697,25.4836
44,May,25,-0.4792,0.0154,-0.0609,0.7725,-0.5285,0.0066,0.0,0.176,0.176,70.9673,26.3329
44,Jun,25,-0.2408,0.2463,0.1162,0.5803,-0.33,0.1072,0.0037,0.2631,0.2594,63.7708,27.1199
44,Jul,25,-0.2262,0.277,0.0131,0.9505,-0.2123,0.3083,0.0073,0.0292,0.0219,67.0848,34.0983
44,FebMar,25,0.0554,0.7926,,,0.0554,0.7926,0.0,0.0206,0.0206,98.7749,39.1322
44,AprMay,25,-0.3415,0.0947,-0.1064,0.6129,-0.4123,0.0405,0.0,0.1655,0.1655,117.5369,39.5168
44,MayJun,25,-0.4346,0.0299,0.1138,0.5879,-0.5408,0.0053,0.003,0.3415,0.3385,134.738,43.0675
44,MayJunJul,25,-0.5769,0.0025,0.0585,0.7813,-0.5985,0.0016,0.0089,0.3146,0.3057,201.8228,56.8719
44,AprMayJun,25,-0.3685,0.0699,0.0862,0.6822,-0.4269,0.0333,0.0029,0.3104,0.3075,181.3077,54.0143
44,JanFebMarApr,25,0.1031,0.6239,-0.1778,0.3952,0.1769,0.3975,0.0005,0.0007,0.0002,200.9947,53.9385
52,Jan,25,-0.2043,0.3274,,,-0.2043,0.3274,0.0,0.0466,0.0466,85.1945,42.5035
52,Feb,25,-0.4546,0.0224,,,-0.4546,0.0224,0.0,0.2029,0.2029,62.8875,32.016
52,Mar,25,-0.4631,0.0197,,,-0.4631,0.0197,0.0,0.328,0.328,66.8393,34.7523
52,Apr,25,0.0138,0.9476,-0.1434,0.4942,0.1454,0.4881,0.0486,0.0494,0.0009,51.4349,27.7664
52,May,25,0.0192,0.9273,-0.1455,0.4877,-0.1231,0.5578,0.0173,0.0458,0.0285,64.6058,30.5141
52,Jun,25,-0.3777,0.0627,0.1546,0.4605,-0.3377,0.0988,0.0388,0.2081,0.1693,52.6126,32.9257
52,Jul,25,-0.3508,0.0856,0.0646,0.759,-0.3246,0.1134,0.0073,0.0649,0.0576,48.8764,25.4982
52,FebMar,25,-0.5415,0.0052,,,-0.5415,0.0052,0.0,0.3745,0.3745,129.7267,56.0919
52,AprMay,25,-0.0292,0.8897,-0.1586,0.449,-0.1315,0.5308,0.0244,0.037,0.0126,116.0407,42.3576
52,MayJun,25,-0.2531,0.2222,0.1154,0.5828,-0.3292,0.108,0.0192,0.1519,0.1327,117.2184,43.4685
52,MayJunJul,25,-0.4108,0.0414,0.1162,0.5803,-0.3708,0.0681,0.0167,0.2161,0.1995,166.0948,50.308
52,AprMayJun,25,-0.2792,0.1765,0.1154,0.5828,-0.2662,0.1984,0.0171,0.1039,0.0868,168.6533,52.1284
52,JanFebMarApr,25,-0.3715,0.0674,-0.1434,0.4942,-0.3469,0.0893,0.0486,0.2607,0.2121,266.3562,88.4835
