model,region,mape,r2,horizon,fold
paper_svm,11,0.14633831548337017,0.6303694496334664,1,1
paper_svm,11,0.13263643158447774,0.5984912433044617,1,2
paper_svm,11,0.1364220555329011,0.5702207696391757,1,3
paper_svm,11,0.1400328324502023,0.5442374324015128,1,4
paper_svm,11,0.15360408392526445,0.6187532356268342,1,5
paper_svm,24,0.1415799065862236,0.6241814274995015,1,1
paper_svm,24,0.13344973876792027,0.5862227769577051,1,2
paper_svm,24,0.1363336569253526,0.5245491972497855,1,3
paper_svm,24,0.14273205185777643,0.5291500752956042,1,4
paper_svm,24,0.15007977609870735,0.6139359007177222,1,5
paper_svm,27,0.17137607420468262,0.6013453370648975,1,1
paper_svm,27,0.15850329954470363,0.5942325115411715,1,2
paper_svm,27,0.15098732607388274,0.5674525358376892,1,3
paper_svm,27,0.16134020364390925,0.5369673528792491,1,4
paper_svm,27,0.172608929940184,0.6280761408192037,1,5
paper_svm,28,0.1277595413903671,0.5710592598107715,1,1
paper_svm,28,0.10801312452027499,0.6017637150128972,1,2
paper_svm,28,0.10808751168606213,0.5919313710800223,1,3
paper_svm,28,0.11369025849266769,0.5196646530019553,1,4
paper_svm,28,0.11619123028483004,0.6236583987377277,1,5
paper_svm,32,0.15062185878228174,0.5788090510997765,1,1
paper_svm,32,0.12996479421729126,0.5816953891836203,1,2
paper_svm,32,0.13892641875698367,0.5887448700070606,1,3
paper_svm,32,0.13763939385895244,0.5407993177669936,1,4
paper_svm,32,0.14867440459875703,0.6346700759276713,1,5
paper_svm,44,0.14755429404639983,0.6760658916589315,1,1
paper_svm,44,0.1383370270700155,0.6716272925924145,1,2
paper_svm,44,0.13895624167888979,0.6209700984840844,1,3
paper_svm,44,0.145981701630208,0.5834092522605873,1,4
paper_svm,44,0.13984611820090254,0.7069443595164076,1,5
paper_svm,52,0.124102067600269,0.6324656816856968,1,1
paper_svm,52,0.1149973696636144,0.5819172307308114,1,2
paper_svm,52,0.1121482509618516,0.5460113102880503,1,3
paper_svm,52,0.11677239327665655,0.5764675499333402,1,4
paper_svm,52,0.12643233687218952,0.6163979858682517,1,5
paper_svm,53,0.10337523115916517,0.5807029529936312,1,1
paper_svm,53,0.08677394645583027,0.6196835778227029,1,2
paper_svm,53,0.08910804395381246,0.5112786320877472,1,3
paper_svm,53,0.09362794756786597,0.5166653743603291,1,4
paper_svm,53,0.09463951600198552,0.5997054703368242,1,5
