NOM;ANNREF;FRANCE;FRDOM;REGION;DEP;N306;N306_MOD;N306_LIB;N027;N027_MOD;N027_LIB;VALEUR;QUALITE
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1;Céréales, oléagineux, protéagineux;Groupe d'indicateurs;020.01;Production (volume);687082769;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1;Céréales, oléagineux, protéagineux;Groupe d'indicateurs;050.08;Superficie développée;11480105;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1;Céréales, oléagineux, protéagineux;Groupe d'indicateurs;070.01;Rendement;59.8;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11;Céréales;Groupe d'indicateurs;020.01;Production (volume);616485944;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11;Céréales;Groupe d'indicateurs;050.08;Superficie développée;9042725;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11;Céréales;Groupe d'indicateurs;070.01;Rendement;68.2;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.1;Blé;Groupe d'indicateurs;020.01;Production (volume);352671732;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.1;Blé;Groupe d'indicateurs;050.08;Superficie développée;5232883;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.1;Blé;Groupe d'indicateurs;070.01;Rendement;67.4;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.1.11;Blé tendre et épeautre;Groupe d'indicateurs;020.01;Production (volume);331599503;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.1.11;Blé tendre et épeautre;Groupe d'indicateurs;050.08;Superficie développée;4778563;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.1.11;Blé tendre et épeautre;Groupe d'indicateurs;070.01;Rendement;69.4;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.1.11.1;Blé tendre d'hiver et épeautre;Groupe d'indicateurs;020.01;Production (volume);330980378;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.1.11.1;Blé tendre d'hiver et épeautre;Groupe d'indicateurs;050.08;Superficie développée;4768254;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.1.11.1;Blé tendre d'hiver et épeautre;Groupe d'indicateurs;070.01;Rendement;69.4;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.1.11.2;Blé tendre de printemps;Groupe d'indicateurs;020.01;Production (volume);619125;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.1.11.2;Blé tendre de printemps;Groupe d'indicateurs;050.08;Superficie développée;10309;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.1.11.2;Blé tendre de printemps;Groupe d'indicateurs;070.01;Rendement;60.1;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.1.12;Blé dur;Groupe d'indicateurs;020.01;Production (volume);21072229;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.1.12;Blé dur;Groupe d'indicateurs;050.08;Superficie développée;454320;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.1.12;Blé dur;Groupe d'indicateurs;070.01;Rendement;46.4;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.1.12.1;Blé dur d'hiver;Groupe d'indicateurs;020.01;Production (volume);20674786;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.1.12.1;Blé dur d'hiver;Groupe d'indicateurs;050.08;Superficie développée;446412;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.1.12.1;Blé dur d'hiver;Groupe d'indicateurs;070.01;Rendement;46.3;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.1.12.2;Blé dur de printemps;Groupe d'indicateurs;020.01;Production (volume);397443;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.1.12.2;Blé dur de printemps;Groupe d'indicateurs;050.08;Superficie développée;7908;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.1.12.2;Blé dur de printemps;Groupe d'indicateurs;070.01;Rendement;50.3;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.2;Orge et escourgeon;Groupe d'indicateurs;020.01;Production (volume);103723884;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.2;Orge et escourgeon;Groupe d'indicateurs;050.08;Superficie développée;1663868;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.2;Orge et escourgeon;Groupe d'indicateurs;070.01;Rendement;62.3;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.2.11;Orge d'hiver et escourgeon;Groupe d'indicateurs;020.01;Production (volume);75835729;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.2.11;Orge d'hiver et escourgeon;Groupe d'indicateurs;050.08;Superficie développée;1171502;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.2.11;Orge d'hiver et escourgeon;Groupe d'indicateurs;070.01;Rendement;64.7;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.2.12;Orge de printemps;Groupe d'indicateurs;020.01;Production (volume);27888155;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.2.12;Orge de printemps;Groupe d'indicateurs;050.08;Superficie développée;492366;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.2.12;Orge de printemps;Groupe d'indicateurs;070.01;Rendement;56.6;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.3;Avoine;Groupe d'indicateurs;020.01;Production (volume);4297175;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.3;Avoine;Groupe d'indicateurs;050.08;Superficie développée;99986;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.3;Avoine;Groupe d'indicateurs;070.01;Rendement;43;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.3.11;Avoine d'hiver;Groupe d'indicateurs;020.01;Production (volume);2713206;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.3.11;Avoine d'hiver;Groupe d'indicateurs;050.08;Superficie développée;60368;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.3.11;Avoine d'hiver;Groupe d'indicateurs;070.01;Rendement;44.9;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.3.12;Avoine de printemps;Groupe d'indicateurs;020.01;Production (volume);1583969;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.3.12;Avoine de printemps;Groupe d'indicateurs;050.08;Superficie développée;39618;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.3.12;Avoine de printemps;Groupe d'indicateurs;070.01;Rendement;40;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.4;Triticale;Groupe d'indicateurs;020.01;Production (volume);16796542;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.4;Triticale;Groupe d'indicateurs;050.08;Superficie développée;330917;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.4;Triticale;Groupe d'indicateurs;070.01;Rendement;50.8;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.5;Seigle et méteil;Groupe d'indicateurs;020.01;Production (volume);1216048;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.5;Seigle et méteil;Groupe d'indicateurs;050.08;Superficie développée;26614;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.5;Seigle et méteil;Groupe d'indicateurs;070.01;Rendement;45.7;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.6;Maïs grain et maïs semence;Groupe d'indicateurs;020.01;Production (volume);130331535;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.6;Maïs grain et maïs semence;Groupe d'indicateurs;050.08;Superficie développée;1518295;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.6;Maïs grain et maïs semence;Groupe d'indicateurs;070.01;Rendement;85.8;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.6.11;Maïs grain (yc maïs grain humide);Groupe d'indicateurs;020.01;Production (volume);128948214;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.6.11;Maïs grain (yc maïs grain humide);Groupe d'indicateurs;050.08;Superficie développée;1477564;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.6.11;Maïs grain (yc maïs grain humide);Groupe d'indicateurs;070.01;Rendement;87.3;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.6.11.1;Maïs grain;Groupe d'indicateurs;020.01;Production (volume);128948214;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.6.11.1;Maïs grain;Groupe d'indicateurs;050.08;Superficie développée;1477564;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.6.11.1;Maïs grain;Groupe d'indicateurs;070.01;Rendement;87.3;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.6.11.1.11;Maïs grain irrigué;Groupe d'indicateurs;020.01;Production (volume);65688763;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.6.11.1.11;Maïs grain irrigué;Groupe d'indicateurs;050.08;Superficie développée;633568;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.6.11.1.11;Maïs grain irrigué;Groupe d'indicateurs;070.01;Rendement;103.7;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.6.11.1.12;Maïs grain non irrigué;Groupe d'indicateurs;020.01;Production (volume);63259451;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.6.11.1.12;Maïs grain non irrigué;Groupe d'indicateurs;050.08;Superficie développée;843996;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.6.11.1.12;Maïs grain non irrigué;Groupe d'indicateurs;070.01;Rendement;75;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.6.12;Maïs semence;Groupe d'indicateurs;020.01;Production (volume);1383321;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.6.12;Maïs semence;Groupe d'indicateurs;050.08;Superficie développée;40731;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.6.12;Maïs semence;Groupe d'indicateurs;070.01;Rendement;34;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.7;Sorgho grain;Groupe d'indicateurs;020.01;Production (volume);2949735;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.7;Sorgho grain;Groupe d'indicateurs;050.08;Superficie développée;53493;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.7;Sorgho grain;Groupe d'indicateurs;070.01;Rendement;55.1;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.8;Riz;Groupe d'indicateurs;020.01;Production (volume);924253;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.8;Riz;Groupe d'indicateurs;050.08;Superficie développée;22527;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.8;Riz;Groupe d'indicateurs;070.01;Rendement;41;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.8.11;Riz indica;Groupe d'indicateurs;020.01;Production (volume);211214;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.8.11;Riz indica;Groupe d'indicateurs;050.08;Superficie développée;9038;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.8.11;Riz indica;Groupe d'indicateurs;070.01;Rendement;23.4;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.8.19;Autres riz (Japonica);Groupe d'indicateurs;020.01;Production (volume);713039;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.8.19;Autres riz (Japonica);Groupe d'indicateurs;050.08;Superficie développée;13489;OUI
SAANR_DEVELOPPE_2;2006;FR;...;...;...;Cultures développées;1.11.8.19;Autres riz (Japonica);Groupe d'indicateurs;070.01;Rendement;52.9;OUI
