NOM;ANNREF;FRANCE;FRDOM;REGION;DEP;N306;N306_MOD;N306_LIB;N027;N027_MOD;N027_LIB;VALEUR;QUALITE
SAANR_DEVELOPPE_2;2004;FR;...;...;...;Cultures développées;1;Céréales, oléagineux, protéagineux;Groupe d'indicateurs;020.01;Production (volume);779990975;OUI
SAANR_DEVELOPPE_2;2004;FR;...;...;...;Cultures développées;1;Céréales, oléagineux, protéagineux;Groupe d'indicateurs;050.08;Superficie développée;11595877;OUI
SAANR_DEVELOPPE_2;2004;FR;...;...;...;Cultures développées;1;Céréales, oléagineux, protéagineux;Groupe d'indicateurs;070.01;Rendement;67.3;OUI
SAANR_DEVELOPPE_2;2004;FR;...;...;...;Cultures développées;1.11;Céréales;Groupe d'indicateurs;020.01;Production (volume);703253745;OUI
SAANR_DEVELOPPE_2;2004;FR;...;...;...;Cultures développées;1.11;Céréales;Groupe d'indicateurs;050.08;Superficie développée;9345270;OUI
SAANR_DEVELOPPE_2;2004;FR;...;...;...;Cultures développées;1.11;Céréales;Groupe d'indicateurs;070.01;Rendement;75.3;OUI
SAANR_DEVELOPPE_2;2004;FR;...;...;...;Cultures développées;1.11.1;Blé;Groupe d'indicateurs;020.01;Production (volume);396146115;OUI
SAANR_DEVELOPPE_2;2004;FR;...;...;...;Cultures développées;1.11.1;Blé;Groupe d'indicateurs;050.08;Superficie développée;5226872;OUI
SAANR_DEVELOPPE_2;2004;FR;...;...;...;Cultures développées;1.11.1;Blé;Groupe d'indicateurs;070.01;Rendement;75.8;OUI
SAANR_DEVELOPPE_2;2004;FR;...;...;...;Cultures développées;1.11.1.11;Blé tendre et épeautre;Groupe d'indicateurs;020.01;Production (volume);375240398;OUI
SAANR_DEVELOPPE_2;2004;FR;...;...;...;Cultures développées;1.11.1.11;Blé tendre et épeautre;Groupe d'indicateurs;050.08;Superficie développée;4818995;OUI
SAANR_DEVELOPPE_2;2004;FR;...;...;...;Cultures développées;1.11.1.11;Blé tendre et épeautre;Groupe d'indicateurs;070.01;Rendement;77.9;OUI
SAANR_DEVELOPPE_2;2004;FR;...;...;...;Cultures développées;1.11.1.11.1;Blé tendre d'hiver et épeautre;Groupe d'indicateurs;020.01;Production (volume);374208678;OUI
SAANR_DEVELOPPE_2;2004;FR;...;...;...;Cultures développées;1.11.1.11.1;Blé tendre d'hiver et épeautre;Groupe d'indicateurs;050.08;Superficie développée;4804153;OUI
SAANR_DEVELOPPE_2;2004;FR;...;...;...;Cultures développées;1.11.1.11.1;Blé tendre d'hiver et épeautre;Groupe d'indicateurs;070.01;Rendement;77.9;OUI
SAANR_DEVELOPPE_2;2004;FR;...;...;...;Cultures développées;1.11.1.11.2;Blé tendre de printemps;Groupe d'indicateurs;020.01;Production (volume);1031720;OUI
SAANR_DEVELOPPE_2;2004;FR;...;...;...;Cultures développées;1.11.1.11.2;Blé tendre de printemps;Groupe d'indicateurs;050.08;Superficie développée;14842;OUI
SAANR_DEVELOPPE_2;2004;FR;...;...;...;Cultures développées;1.11.1.11.2;Blé tendre de printemps;Groupe d'indicateurs;070.01;Rendement;69.5;OUI
SAANR_DEVELOPPE_2;2004;FR;...;...;...;Cultures développées;1.11.1.12;Blé dur;Groupe d'indicateurs;020.01;Production (volume);20905717;OUI
SAANR_DEVELOPPE_2;2004;FR;...;...;...;Cultures développées;1.11.1.12;Blé dur;Groupe d'indicateurs;050.08;Superficie développée;407877;OUI
SAANR_DEVELOPPE_2;2004;FR;...;...;...;Cultures développées;1.11.1.12;Blé dur;Groupe d'indicateurs;070.01;Rendement;51.3;OUI
SAANR_DEVELOPPE_2;2004;FR;...;...;...;Cultures développées;1.11.1.12.1;Blé dur d'hiver;Groupe d'indicateurs;020.01;Production (volume);20517980;OUI
SAANR_DEVELOPPE_2;2004;FR;...;...;...;Cultures développées;1.11.1.12.1;Blé dur d'hiver;Groupe d'indicateurs;050.08;Superficie développée;401359;OUI
