model,region,mape,r2,horizon,fold
paper_knn,11,0.1600225863618945,0.5408272913696921,1,1
paper_knn,11,0.14550774592751384,0.5134642491820127,1,2
paper_knn,11,0.14708594897764274,0.5156353933503337,1,3
paper_knn,11,0.1470250138301494,0.4965673769022523,1,4
paper_knn,11,0.16945363204820985,0.540858732538694,1,5
paper_knn,24,0.1558426191892537,0.5418403288604758,1,1
paper_knn,24,0.14500710010044052,0.5173533221037474,1,2
paper_knn,24,0.14261374784188788,0.4820702123255316,1,3
paper_knn,24,0.1481255658249599,0.4668817004110085,1,4
paper_knn,24,0.16686668189029466,0.5344498250688234,1,5
paper_knn,27,0.19726591649467332,0.4829167164462209,1,1
paper_knn,27,0.17638700302137444,0.5085065580521432,1,2
paper_knn,27,0.16512637970290037,0.4995189418408318,1,3
paper_knn,27,0.17741683825902646,0.4519929447447594,1,4
paper_knn,27,0.19971812824049828,0.522058419222891,1,5
paper_knn,28,0.13897127951557253,0.4915523818256793,1,1
paper_knn,28,0.11848702238862865,0.5023756183475212,1,2
paper_knn,28,0.12009842902541139,0.4959870515546201,1,3
paper_knn,28,0.11947344236936529,0.4393932785502983,1,4
paper_knn,28,0.13022495933585748,0.546926776412987,1,5
paper_knn,32,0.16658986885560864,0.4841010521932143,1,1
paper_knn,32,0.14263729502119732,0.4944641554819954,1,2
paper_knn,32,0.15104446747863007,0.5074959708363892,1,3
paper_knn,32,0.15094601772806931,0.436549370021875,1,4
paper_knn,32,0.1653829737997281,0.5352069262195953,1,5
paper_knn,44,0.17200537573662167,0.5663881142886151,1,1
paper_knn,44,0.15028838217449533,0.601874453795485,1,2
paper_knn,44,0.16763819613929015,0.4701707987685332,1,3
paper_knn,44,0.1604865464259682,0.48874430589775675,1,4
paper_knn,44,0.16269733523431684,0.6015063686433921,1,5
paper_knn,52,0.13604847386185548,0.5406695287017584,1,1
paper_knn,52,0.12461735764105526,0.5021508499351495,1,2
paper_knn,52,0.12493958414232176,0.47004981345888086,1,3
paper_knn,52,0.12740902164979298,0.4959899322558011,1,4
paper_knn,52,0.13827404655155925,0.5350710993961925,1,5
paper_knn,53,0.108454296254339,0.5210620056118482,1,1
paper_knn,53,0.09487590189566929,0.5195836463763459,1,2
paper_knn,53,0.09858158014328225,0.4238742454624298,1,3
paper_knn,53,0.09852548791178155,0.45731633838638974,1,4
paper_knn,53,0.10354555243024065,0.5232892282459201,1,5
