MAE,MAPE,Bias,R2,RMSE,model,region
7.805990851662936e-07,8.255363323253972e-08,1.672616776136337e-08,0.999999999999726,1.683452533408029e-06,paper_knn,11
7.729428700826776e-07,8.19443390041541e-08,-4.343911764877286e-10,0.9999999999997149,1.6645889427613154e-06,paper_knn,24
6.988375181103228e-07,7.131891314813895e-08,3.490342471819919e-08,0.9999999999996777,1.5968040270311708e-06,paper_knn,27
5.91563761616349e-07,5.776441454629976e-08,1.0235688013423664e-08,0.9999999999996828,1.3247825635865982e-06,paper_knn,28
2.135392946783147e-07,2.439071529346254e-08,3.78247348697234e-09,0.999999999999969,4.826319444327036e-07,paper_knn,32
2.2789424281903726e-07,3.072657247149029e-08,1.2380436758030112e-09,0.9999999999999749,4.998508628630353e-07,paper_knn,44
7.490041313403132e-07,6.895108454028655e-08,2.4347514820411474e-08,0.9999999999997006,1.6366647059150687e-06,paper_knn,52
0.0,0.0,0.0,1.0,0.0,paper_knn,53
