region,calibration_year,calibration_end,prediction_year,train_start,train_end,prediction_start,prediction_end,n_calibration_rows,n_prediction_rows,fit_MAE,fit_MAPE,fit_Bias,fit_R2,fit_RMSE,pred_year_MAE,pred_year_MAPE,pred_year_Bias,pred_year_R2,pred_year_RMSE,export_path
11,2010,2010-12-31,2011,1975-01-01,2010-12-31,2011-01-01,2011-12-31,13140,365,1.5487088869694525,0.15704421842725974,0.06982054651272844,0.634072042012285,1.945384907042029,1.8510138615486527,0.18740343500548431,0.13575817728047856,0.3886692562503403,2.3243582058314987,../Outputs/WaveletFNN_rolling_exports/wavelet_fnn_region_11_calib_2010_predict_2011.pkl
11,2011,2011-12-31,2012,1975-01-01,2011-12-31,2012-01-01,2012-12-31,13505,365,1.5735130639053518,0.15898696737329557,-0.04646913943033804,0.6178788479896489,1.9847055980425659,1.8304858255991585,0.17241753516725017,0.09705324824643101,0.5760987387714815,2.277760090277635,../Outputs/WaveletFNN_rolling_exports/wavelet_fnn_region_11_calib_2011_predict_2012.pkl
11,2012,2012-12-31,2013,1975-01-01,2012-12-31,2013-01-01,2013-12-31,13870,365,1.5611563410348346,0.15879754542363678,0.08792967093378494,0.631658648362637,1.9544107771431256,1.814203990392566,0.18719200609151804,0.24549118007967705,0.5097423076420087,2.2842210298331005,../Outputs/WaveletFNN_rolling_exports/wavelet_fnn_region_11_calib_2012_predict_2013.pkl
11,2013,2013-12-31,2014,1975-01-01,2013-12-31,2014-01-01,2014-12-31,14235,365,1.5416866558751046,0.15654994793036942,0.05758671290976895,0.6401003938980704,1.9341423481177566,1.5554118538482606,0.13416396928106816,0.4660884124419346,0.37606399711748517,1.97928557365732,../Outputs/WaveletFNN_rolling_exports/wavelet_fnn_region_11_calib_2013_predict_2014.pkl
11,2014,2014-12-31,2015,1975-01-01,2014-12-31,2015-01-01,2015-12-31,14600,365,1.5591166567402939,0.1554056659860363,0.17419934286090796,0.6277427841264044,1.9584149354636098,1.8454159922292952,0.16428321016743785,0.5174771464088735,0.3956729749957988,2.2985972885524673,../Outputs/WaveletFNN_rolling_exports/wavelet_fnn_region_11_calib_2014_predict_2015.pkl
11,2015,2015-12-31,2016,1975-01-01,2015-12-31,2016-01-01,2016-12-31,14965,365,1.5739598064047813,0.1569566948116212,0.17586702278963268,0.6200571584554726,1.9758793658382705,1.6668484142030748,0.14849693418382953,0.34944158064244896,0.5060994362236119,2.0690644623780097,../Outputs/WaveletFNN_rolling_exports/wavelet_fnn_region_11_calib_2015_predict_2016.pkl
11,2016,2016-12-31,2017,1975-01-01,2016-12-31,2017-01-01,2017-12-31,15330,365,1.5650168893613043,0.15652633402421237,0.1651174416287617,0.6236622414172008,1.964206891837617,1.8661562258820923,0.16699874169914197,0.33689869091263086,0.5001609741385412,2.258253566551276,../Outputs/WaveletFNN_rolling_exports/wavelet_fnn_region_11_calib_2016_predict_2017.pkl
11,2017,2017-12-31,2018,1975-01-01,2017-12-31,2018-01-01,2018-12-31,15695,365,1.5555097915850278,0.15869930994126705,-0.1265759238372021,0.6256883004195692,1.9606571351214948,1.7246691725482282,0.16064633529837657,-0.08332917885166367,0.6130447084069514,2.121530309411911,../Outputs/WaveletFNN_rolling_exports/wavelet_fnn_region_11_calib_2017_predict_2018.pkl
11,2018,2018-12-31,2019,1975-01-01,2018-12-31,2019-01-01,2019-12-31,16060,365,1.5705542577480274,0.1568191178366174,0.1643869296885569,0.6257561483419475,1.9643482245686432,1.6112281158208772,0.14537508421225134,0.32864815365840866,0.5212091150152665,2.038735228507611,../Outputs/WaveletFNN_rolling_exports/wavelet_fnn_region_11_calib_2018_predict_2019.pkl
11,2019,2019-12-31,2020,1975-01-01,2019-12-31,2020-01-01,2020-12-31,16425,365,1.5729308412561562,0.15855120107216106,-0.00947308703318489,0.6207295236005683,1.975723337003471,1.8480057073481193,0.16608632847736396,-0.04401561311828461,0.4191411367367077,2.3250680015665286,../Outputs/WaveletFNN_rolling_exports/wavelet_fnn_region_11_calib_2019_predict_2020.pkl
